  #         日期   方向                 评分明细         入场        TP1         SL         出场               归宿       盈亏U
---------------------------------------------------------------------------------------------------------------
  1 2026-03-23  buy          0=0+0+0+0+0    70099.9    71151.4    68697.9          —        拦截→若无成交记录         —
  2 2026-03-24 sell      60=0+15+25+20+0    69446.9    68405.2    70835.8    70990.5               SL    -22.74
  3 2026-03-25  buy       60=30+5+25+0+0    71083.0    72149.2    69661.3    70260.5               SL    -12.07
  4 2026-03-26 sell      53=0+25+18+10+0    69994.7    68944.8    71394.6    68395.9           TP1·BE    +22.35
  5 2026-03-30  buy         13=0+5+8+0+0    67146.5    68153.7    65803.6    67851.5        确认·TP1·BE     +9.99
  6 2026-03-31 sell     83=30+25+18+10+0    66090.0    65098.7    67411.8    67892.9               SL    -27.79
  7 2026-03-31  buy       15=0+5+25+0-15    68228.9    69252.3    66864.3    68945.3        确认·TP1·BE     +9.99
  8 2026-04-02 sell     45=0+25+25+10-15    66828.3    65825.9    68164.9    66126.6           TP1·BE    +10.01
  9 2026-04-04  buy      73=30+25+18+0+0    67346.0    68356.2    65999.1    66802.4               SL     -8.57
 10 2026-04-05 sell       33=0+15+18+0+0    66767.1    65765.6    68102.4    67345.4           拦截→若SL     -9.17
 11 2026-04-05  buy       23=30+0+8+0-15    67349.7    68359.9    66002.7    68461.8        确认·TP1·BE    +16.00
 12 2026-04-07 sell       40=0+5+15+20+0    68368.1    67342.6    69735.5    69352.3               SL    -14.90
 13 2026-04-07  buy     58=30+25+18+0-15    69898.0    70946.5    68500.0    70805.9           TP1·BE    +12.48
 14 2026-04-12 sell      35=0+25+25+0-15    71610.0    70535.9    73042.2    70858.1       拦截→若TP1·BE    +10.01
 15 2026-04-13  buy    85=30+25+25+20-15    72347.0    73432.2    70900.1    73577.2           TP1·BE    +16.50
 16 2026-04-15 sell       -10=0+5+0+0-15    73860.8    72752.9    75338.0    75102.0            确认·SL    -17.31
 17 2026-04-16  buy       53=30+15+8+0+0    75317.0    76446.8    73810.7    76321.9           TP1·BE    +12.84
 18 2026-04-18 sell      60=0+15+25+20+0    76008.5    74868.4    77528.7    75210.4           TP1·BE    +10.01
 19 2026-04-20  buy        30=0+5+25+0+0    75669.8    76804.8    74156.4    76464.3       拦截→若TP1·BE     +9.99
 20 2026-04-21 sell      80=30+25+25+0+0    74985.7    73860.9    76485.4    76945.4               SL    -26.65
 21 2026-04-22  buy    85=30+25+25+20-15    77580.3    78744.0    76028.7    78395.3           TP1·BE    +10.00
 22 2026-04-23 sell       50=0+5+25+20+0    77370.3    76209.7    78917.7    77901.5               SL     -7.37
 23 2026-04-26  buy     83=30+25+18+10+0    77944.1    79113.3    76385.2    78762.5           TP1·BE     +9.99
 24 2026-04-27 sell         13=0+5+8+0+0    77663.9    76498.9    79217.2    76668.8       拦截→若TP1·BE    +12.32
 25 2026-04-29  buy       40=0+15+25+0+0    77216.9    78375.2    75672.6    76588.3               SL     -8.64
 26 2026-04-29 sell       40=30+0+0+10+0    76540.0    75391.9    78070.8    75736.3           TP1·BE    +10.01
 27 2026-05-01  buy      53=0+25+18+10+0    77087.3    78243.6    75545.6    78179.5           TP1·BE    +13.66
 28 2026-05-04 sell       -15=0+0+0+0-15    78756.9    77575.5    80332.0    80419.0           拦截→若SL    -21.61
 29 2026-05-05  buy        35=30+5+0+0+0    80526.7    81734.6    78916.2    81553.5       拦截→若TP1·BE    +12.24
 30 2026-05-07 sell        5=0+5+15+0-15    80976.2    79761.6    82595.7    80006.5       拦截→若TP1·BE    +11.48
 31 2026-05-09  buy       45=30+5+10+0+0    80580.0    81788.7    78968.4    80627.6               SL     +0.09
 32 2026-05-11 sell        18=0+0+18+0+0    80700.7    79490.2    82314.7    81954.8           拦截→若SL    -16.05
 33 2026-05-14  buy      35=0+25+25+0-15    80917.7    82131.5    79299.3    79974.8            确认·SL    -12.15
