time,dir,entry,bars_since_last_flip,ATR_percent,range_position,candle_range_ATR,pass_vol,pass_candle,keep,live_pnl_U
2026-01-01 22:00,buy,88613.5,9999,0.28,0.716,1.23,True,True,True,-0.66
2026-01-06 16:00,sell,92649.6,114,0.63,0.463,2.48,True,True,True,9.51
2026-01-09 16:00,buy,91581.3,72,0.72,0.852,0.93,True,True,True,-13.38
2026-01-12 08:00,sell,90713.4,64,0.59,0.239,2.31,True,True,True,-15.10
2026-01-12 16:00,buy,92082.9,8,0.63,0.830,1.33,True,True,True,20.01
2026-01-15 20:00,sell,95214.0,76,0.73,0.309,0.76,True,True,True,25.32
2026-01-21 15:00,buy,90228.8,139,0.74,0.445,1.26,True,True,True,-24.27
2026-01-21 16:00,sell,87553.3,1,1.00,0.005,3.18,False,False,False,
2026-01-21 19:00,buy,90315.0,3,1.14,0.511,2.12,False,True,False,
2026-01-25 06:00,sell,88809.4,83,0.25,0.115,1.64,True,True,True,12.27
2026-01-26 14:00,buy,88136.0,32,0.57,0.613,2.14,True,True,True,11.49
2026-01-29 01:00,sell,88568.0,59,0.69,0.392,1.00,True,True,True,42.02
2026-02-03 00:00,buy,79044.1,119,0.97,0.942,0.92,False,True,False,
2026-02-03 16:00,sell,76461.2,16,1.09,0.398,2.01,False,True,False,
2026-02-06 14:00,buy,68155.0,70,2.11,0.535,1.39,False,True,False,
2026-02-09 10:00,sell,68708.3,68,1.17,0.224,1.64,False,True,False,
2026-02-13 15:00,buy,68656.5,101,1.01,0.852,2.34,False,True,False,
2026-02-15 13:00,sell,68907.5,46,0.80,0.510,1.59,True,True,True,-13.19
2026-02-20 05:00,buy,67762.6,112,0.66,0.762,1.85,True,True,True,-14.08
2026-02-20 13:00,sell,66788.6,8,0.72,0.436,2.26,True,True,True,-25.36
2026-02-21 15:00,buy,68575.3,26,0.45,0.961,1.00,True,True,True,-14.48
2026-02-22 13:00,sell,67632.1,22,0.38,0.512,1.87,True,True,True,15.73
2026-02-23 09:00,buy,66373.7,20,0.81,0.481,1.47,False,True,False,
2026-02-23 17:00,sell,64780.9,8,0.97,0.148,2.10,False,True,False,
2026-02-24 18:00,buy,64387.7,25,0.94,0.373,1.01,False,True,False,
2026-02-26 16:00,sell,66619.4,46,1.03,0.449,1.59,False,True,False,
2026-02-28 18:00,buy,65875.7,50,1.14,0.555,1.39,False,True,False,
2026-03-03 09:00,sell,66621.9,63,1.06,0.319,1.20,False,True,False,
2026-03-04 07:00,buy,69456.9,22,1.12,0.873,1.66,False,True,False,
2026-03-05 17:00,sell,70675.2,34,1.19,0.497,1.11,False,True,False,
2026-03-09 09:00,buy,67943.8,88,1.03,0.831,1.27,False,True,False,
2026-03-13 17:00,sell,70996.7,104,1.16,0.391,1.65,False,True,False,
2026-03-15 04:00,buy,71543.9,35,0.44,0.358,1.14,True,True,True,17.23
2026-03-18 11:00,sell,72913.4,79,0.72,0.051,2.46,True,True,True,16.82
2026-03-23 11:00,buy,70099.9,120,1.17,0.668,3.64,False,False,False,
2026-03-24 16:00,sell,69446.9,29,0.86,0.479,1.25,False,True,False,
2026-03-25 05:00,buy,71083.0,13,0.70,0.839,0.82,True,True,True,-12.55
2026-03-26 05:00,sell,69994.7,24,0.68,0.361,1.79,True,True,True,21.85
2026-03-30 03:00,buy,67146.5,94,0.83,0.864,0.65,False,True,False,
2026-03-31 09:00,sell,66090.0,30,0.86,0.335,1.67,False,True,False,
2026-03-31 20:00,buy,68228.9,11,0.98,0.905,0.66,False,True,False,
2026-04-02 02:00,sell,66828.3,30,0.88,0.262,1.26,False,True,False,
2026-04-04 15:00,buy,67346.0,61,0.29,0.843,2.10,True,True,True,-9.07
2026-04-05 06:00,sell,66767.1,15,0.30,0.269,1.75,True,True,True,-9.67
2026-04-05 17:00,buy,67349.7,11,0.40,0.610,0.82,True,True,True,15.50
2026-04-07 01:00,sell,68368.1,32,0.71,0.479,1.17,True,True,True,-15.40
2026-04-07 21:00,buy,69898.0,20,0.80,0.859,1.65,True,True,True,11.98
2026-04-12 01:00,sell,71610.0,100,0.69,0.134,3.71,True,False,False,
2026-04-13 14:00,buy,72347.0,37,0.61,0.566,2.37,True,True,True,16.00
2026-04-15 06:00,sell,73860.8,40,0.61,0.608,0.42,True,True,True,-17.81
2026-04-16 19:00,buy,75317.0,37,0.85,0.966,1.07,False,True,False,
2026-04-18 11:00,sell,76008.5,40,0.52,0.546,1.09,True,True,True,9.51
2026-04-20 15:00,buy,75669.8,52,0.78,0.785,1.85,True,True,True,9.49
2026-04-21 19:00,sell,74985.7,28,0.82,0.405,1.80,False,True,False,
2026-04-22 02:00,buy,77580.3,7,0.82,0.985,2.27,False,True,False,
2026-04-23 10:00,sell,77370.3,32,0.59,0.557,1.20,True,True,True,-7.87
2026-04-26 05:00,buy,77944.1,67,0.31,0.647,2.03,True,True,True,9.49
2026-04-27 06:00,sell,77663.9,25,0.71,0.256,0.76,True,True,True,11.82
2026-04-29 04:00,buy,77216.9,46,0.47,0.485,1.59,True,True,True,-9.14
2026-04-29 14:00,sell,76540.0,10,0.55,0.405,0.92,True,True,True,9.51
2026-05-01 03:00,buy,77087.3,37,0.49,0.734,2.47,True,True,True,13.16
2026-05-04 11:00,sell,78756.9,80,0.70,0.288,0.77,True,True,True,-22.11
2026-05-05 02:00,buy,80526.7,15,0.66,0.874,1.20,True,True,True,11.74
2026-05-07 00:00,sell,80976.2,46,0.55,0.340,1.22,True,True,True,10.98
2026-05-09 16:00,buy,80580.0,64,0.30,0.885,1.37,True,True,True,-0.41
2026-05-11 03:00,sell,80700.7,35,0.67,0.257,1.25,True,True,True,-16.55
2026-05-14 14:00,buy,80917.7,83,0.62,0.845,2.89,True,True,True,-12.65
2026-05-15 13:00,sell,78709.5,23,0.69,0.024,3.17,True,False,False,
2026-05-20 20:00,buy,77670.4,127,0.50,0.907,0.74,True,True,True,-9.48
2026-05-21 14:00,sell,76943.3,18,0.50,0.342,1.19,True,True,True,14.75
2026-05-23 18:00,buy,75816.0,52,0.45,0.441,1.67,True,True,True,11.16
2026-05-24 21:00,sell,76111.5,27,0.45,0.574,1.95,True,True,True,-18.06
2026-05-25 08:00,buy,77427.4,11,0.47,0.926,0.58,True,True,True,-10.03
2026-05-26 01:00,sell,76717.9,17,0.44,0.366,0.89,True,True,True,-11.67
2026-05-29 16:00,buy,74006.5,87,0.64,0.532,1.17,True,True,True,-7.49
2026-05-31 16:00,sell,73494.4,48,0.29,0.310,1.59,True,True,True,-10.12
2026-06-07 07:00,buy,62372.1,159,0.81,0.787,0.87,False,True,False,
2026-06-09 14:00,sell,61513.6,55,0.86,0.119,2.36,False,True,False,
2026-06-10 15:00,buy,62598.8,25,0.98,0.579,1.67,False,True,False,
2026-06-14 16:00,sell,63907.3,97,0.37,0.401,1.23,True,True,True,-9.23
2026-06-14 21:00,buy,65276.8,5,0.59,0.825,4.45,True,False,False,
2026-06-16 02:00,sell,65713.0,29,0.57,0.568,1.83,True,True,True,9.51
2026-06-17 16:00,buy,65835.1,38,0.75,0.507,1.51,True,True,True,-20.01
2026-06-17 19:00,sell,64278.2,3,1.05,0.091,2.42,False,True,False,
2026-06-20 01:00,buy,63547.9,54,0.52,0.524,0.65,True,True,True,10.06
2026-06-21 23:00,sell,63278.9,46,0.49,0.091,1.74,True,True,True,-19.14
2026-06-22 01:00,buy,64570.1,2,0.65,0.854,2.35,True,True,True,9.49
2026-06-23 04:00,sell,63597.9,27,0.60,0.155,1.30,True,True,True,19.85
2026-06-25 05:00,buy,61560.3,49,0.84,0.581,1.04,False,True,False,
2026-06-25 13:00,sell,58258.6,8,1.26,0.044,4.49,False,False,False,
2026-06-29 17:00,buy,60388.7,100,1.01,0.801,1.30,False,True,False,
2026-06-30 12:00,sell,58374.4,19,0.64,0.017,2.22,True,True,True,-21.67
2026-07-01 15:00,buy,60123.2,27,0.90,0.816,1.92,False,True,False,
2026-07-06 09:00,sell,62643.0,114,0.51,0.148,0.91,True,True,True,9.51
2026-07-06 15:00,buy,63519.9,6,0.88,0.829,2.69,False,True,False,
