idx,date,type,entry,tp_rev,sl_rev,pnl_pct,result,bars,h4,box,brk_atr,brk_label,body_atr,mom12,kcontrib,vol_r,adx,adx_chg,struct_atr,mae,mfe
1,2026-03-23,buy,70099.9,69446.9,69446.9,-0.93,止损(反),29,空·反,震荡中轴,1.25,过度,1.94,2.77,0.7,7.31,38.6,-2.5,0.08,2.28,2.39
2,2026-03-24,sell,69446.9,71083.0,71083.0,-2.36,止损(反),13,多·回,震荡中轴,0.27,正常,0.64,-1.51,0.43,1.49,22.0,-0.4,0.95,2.69,0.83
3,2026-03-25,buy,71083.0,69994.7,69994.7,-1.53,止损(反),24,多,突破上沿,0.2,正常,0.28,3.75,0.08,0.95,16.2,-2.6,0.58,1.64,1.27
4,2026-03-26,sell,69994.7,67146.5,67146.5,4.07,止盈(反),94,多·回,震荡中轴,0.56,过度,1.57,-1.58,0.99,1.6,13.2,-0.7,1.16,1.11,7.23
5,2026-03-30,buy,67146.5,66090.0,66090.0,-1.57,止损(反),30,空·反,突破上沿,0.06,正常,0.11,1.16,0.09,0.88,15.9,0.8,0.06,1.79,1.85
6,2026-03-31,sell,66090.0,68228.9,68228.9,-3.24,止损(反),11,空,震荡中轴,0.7,正常,1.15,-1.2,0.95,1.95,16.0,-1.2,0.21,3.76,0.22
7,2026-03-31,buy,68228.9,66828.3,66828.3,-2.05,止损(反),30,空·反,突破上沿,0.5,正常,0.63,2.22,0.28,0.42,22.1,7.4,0.04,2.4,1.59
8,2026-04-02,sell,66828.3,67346.0,67346.0,-0.77,止损(反),61,多·回,箱体边缘,0.62,正常,0.84,-2.94,0.29,1.4,19.7,-2.7,1.22,1.08,1.76
9,2026-04-04,buy,67346.0,66767.1,66767.1,-0.86,止损(反),15,多,突破上沿,0.24,正常,0.89,2.79,0.32,4.25,28.7,6.9,0.02,1.15,0.3
10,2026-04-05,sell,66767.1,67349.7,67349.7,-0.87,止损(反),11,多·回,箱体边缘,0.18,正常,0.69,-2.47,0.28,2.68,27.4,-7.1,0.16,1.62,0.29
11,2026-04-05,buy,67349.7,68368.1,68368.1,1.51,止盈(反),32,多,震荡中轴,0.02,正常,0.6,1.63,0.36,0.65,25.9,1.5,0.73,0.28,4.41
12,2026-04-07,sell,68368.1,69898.0,69898.0,-2.24,止损(反),20,多,震荡中轴,0.68,正常,0.77,-2.13,0.36,0.97,33.3,-9.6,0.76,2.66,1.01
13,2026-04-07,buy,69898.0,71610.0,71610.0,2.45,止盈(反),100,多,突破上沿,0.98,正常,1.11,1.42,0.78,1.93,19.3,-1.4,0.68,0.9,5.58
14,2026-04-12,sell,71610.0,72347.0,72347.0,-1.03,止损(反),37,多·回,突破下沿,2.07,过度,2.91,-2.05,1.41,5.13,24.4,-0.6,0.45,2.09,1.61
15,2026-04-13,buy,72347.0,73860.8,73860.8,2.09,止盈(反),40,空·反,震荡中轴,1.54,过度,1.66,2.9,0.57,3.9,29.6,-3.5,2.08,1.41,5.05
16,2026-04-15,sell,73860.8,75317.0,75317.0,-1.97,止损(反),37,多,震荡中轴,0.12,正常,0.27,-0.43,0.64,0.43,30.9,-8.3,0.26,2.07,0.87
17,2026-04-16,buy,75317.0,76008.5,76008.5,0.92,止盈(反),40,多,突破上沿,0.33,正常,0.49,1.0,0.49,1.11,17.9,-3.8,0.12,1.09,3.99
18,2026-04-18,sell,76008.5,75669.8,75669.8,0.45,止盈(反),52,多,震荡中轴,0.06,正常,0.39,-2.59,0.15,1.78,25.1,-5.7,1.23,0.44,3.08
19,2026-04-20,buy,75669.8,74985.7,74985.7,-0.9,止损(反),28,空·反,箱体边缘,0.69,正常,1.15,1.82,0.63,1.71,24.4,0.4,0.33,1.34,1.66
20,2026-04-21,sell,74985.7,77580.3,77580.3,-3.46,止损(反),7,空,震荡中轴,0.27,正常,0.95,-1.74,0.54,1.45,21.8,-4.9,0.54,3.53,0.29
21,2026-04-22,buy,77580.3,77370.3,77370.3,-0.27,止损(反),32,多,突破上沿,1.0,过度,2.05,3.06,0.67,2.82,19.1,-1.6,1.03,1.79,2.4
22,2026-04-23,sell,77370.3,77944.1,77944.1,-0.74,止损(反),67,多,震荡中轴,0.46,正常,0.54,-2.58,0.21,1.53,26.3,-3.2,0.12,1.62,0.59
23,2026-04-26,buy,77944.1,77663.9,77663.9,-0.36,止损(反),25,多,震荡中轴,0.17,正常,0.84,2.99,0.28,3.37,15.0,0.3,0.43,0.69,1.98
24,2026-04-27,sell,77663.9,77216.9,77216.9,0.58,止盈(反),46,多·回,箱体边缘,0.02,正常,0.14,-1.03,0.13,1.02,35.6,2.6,0.07,0.73,2.63
25,2026-04-29,buy,77216.9,76540.0,76540.0,-0.88,止损(反),10,空·反,震荡中轴,0.41,正常,0.74,3.07,0.24,2.11,25.9,-4.0,0.62,1.08,0.86
26,2026-04-29,sell,76540.0,77087.3,77087.3,-0.72,止损(反),37,空,震荡中轴,0.11,正常,0.46,0.12,-4.0,1.16,22.9,-1.3,0.33,1.16,2.15
