idx,date,type,flip_count,prev_st_age,er20,adx,atr_pct,body_atr,wick_ratio,vol_r,max3_atr,max5_atr,exit,pnl_pct,result,bars
1,2026-03-23,buy,0,120,0.18,38.6,1.17,1.94,0.88,7.31,2.05,2.05,69446.9,-0.93,止损(反),29
2,2026-03-24,sell,1,29,0.312,22.0,0.86,0.64,0.95,1.49,0.96,0.96,71083.0,-2.36,止损(反),13
3,2026-03-25,buy,1,13,0.044,16.2,0.7,0.28,1.9,0.95,0.82,1.14,69994.7,-1.53,止损(反),24
4,2026-03-26,sell,1,24,0.304,13.2,0.68,1.57,0.14,1.6,0.51,1.32,67146.5,4.07,止盈(反),94
5,2026-03-30,buy,0,94,0.138,15.9,0.83,0.11,5.01,0.88,1.15,1.41,66090.0,-1.57,止损(反),30
6,2026-03-31,sell,1,30,0.275,16.0,0.86,1.15,0.45,1.95,0.05,0.05,68228.9,-3.24,止损(反),11
7,2026-03-31,buy,1,11,0.155,22.1,0.98,0.63,0.05,0.42,0.23,0.23,66828.3,-2.05,止损(反),30
8,2026-04-02,sell,1,30,0.399,19.7,0.88,0.84,0.49,1.4,1.11,1.11,67346.0,-0.77,止损(反),61
9,2026-04-04,buy,0,61,0.378,28.7,0.29,0.89,1.36,4.25,0.71,0.88,66767.1,-0.86,止损(反),15
10,2026-04-05,sell,1,15,0.273,27.4,0.3,0.69,1.54,2.68,0.44,0.44,67349.7,-0.87,止损(反),11
11,2026-04-05,buy,2,11,0.016,25.9,0.4,0.6,0.37,0.65,1.23,3.66,68368.1,1.51,止盈(反),32
12,2026-04-07,sell,0,32,0.18,33.3,0.71,0.77,0.51,0.97,0.28,0.28,69898.0,-2.24,止损(反),20
13,2026-04-07,buy,1,20,0.279,19.3,0.8,1.11,0.49,1.93,5.16,5.16,71610.0,2.45,止盈(反),100
14,2026-04-12,sell,0,100,0.257,24.4,0.69,2.91,0.28,5.13,0.6,0.6,72347.0,-1.03,止损(反),37
15,2026-04-13,buy,0,37,0.318,29.6,0.61,1.66,0.42,3.9,0.53,2.53,73860.8,2.09,止盈(反),40
16,2026-04-15,sell,0,40,0.086,30.9,0.61,0.27,0.52,0.43,0.92,0.92,75317.0,-1.97,止损(反),37
17,2026-04-16,buy,0,37,0.108,17.9,0.85,0.49,1.2,1.11,0.32,0.32,76008.5,0.92,止盈(反),40
18,2026-04-18,sell,0,40,0.535,25.1,0.52,0.39,1.76,1.78,0.63,0.97,75669.8,0.45,止盈(反),52
19,2026-04-20,buy,0,52,0.148,24.4,0.78,1.15,0.61,1.71,1.29,1.49,74985.7,-0.9,止损(反),28
20,2026-04-21,sell,1,28,0.186,21.8,0.82,0.95,0.9,1.45,0.07,0.07,77580.3,-3.46,止损(反),7
21,2026-04-22,buy,1,7,0.264,19.1,0.82,2.05,0.1,2.82,1.32,1.32,77370.3,-0.27,止损(反),32
22,2026-04-23,sell,0,32,0.347,26.3,0.59,0.54,1.23,1.53,0.09,0.09,77944.1,-0.74,止损(反),67
23,2026-04-26,buy,0,67,0.12,15.0,0.31,0.84,1.42,3.37,0.99,0.99,77663.9,-0.36,止损(反),25
24,2026-04-27,sell,1,25,0.073,35.6,0.71,0.14,4.51,1.02,0.29,0.29,77216.9,0.58,止盈(反),46
25,2026-04-29,buy,0,46,0.131,25.9,0.47,0.74,1.14,2.11,0.19,1.52,76540.0,-0.88,止损(反),10
26,2026-04-29,sell,1,10,0.094,22.9,0.55,0.46,0.99,1.16,2.13,3.91,77087.3,-0.72,止损(反),37
27,2026-05-01,buy,0,37,0.365,17.9,0.49,1.41,0.76,3.17,0.21,1.02,78756.9,2.17,止盈(反),80
28,2026-05-04,sell,0,80,0.025,34.0,0.7,0.25,2.04,0.59,0.6,0.6,80526.7,-2.25,止损(反),15
29,2026-05-05,buy,1,15,0.13,25.4,0.66,0.42,1.88,1.09,1.48,1.48,80976.2,0.56,止盈(反),46
30,2026-05-07,sell,0,46,0.077,14.9,0.55,0.95,0.28,0.59,0.43,0.7,80580.0,0.49,止盈(反),64
31,2026-05-09,buy,0,64,0.313,14.5,0.3,0.39,2.48,2.62,1.93,1.93,80700.7,0.15,止盈(反),35
32,2026-05-11,sell,0,35,0.0,27.6,0.67,0.85,0.47,2.09,0.16,0.23,80917.7,-0.27,止损(反),83
33,2026-05-14,buy,0,83,0.289,26.2,0.62,2.5,0.16,4.38,2.14,2.14,78709.5,-2.73,止损(反),23
34,2026-05-15,sell,1,23,0.521,19.2,0.69,3.02,0.05,5.58,0.22,0.22,77670.4,1.32,止盈(反),127
35,2026-05-20,buy,0,127,0.3,14.4,0.5,0.09,7.19,0.61,0.15,1.25,76943.3,-0.94,止损(反),18
36,2026-05-21,sell,1,18,0.138,17.2,0.5,0.4,1.98,1.43,0.21,0.21,75816.0,1.47,止盈(反),52
37,2026-05-23,buy,0,52,0.038,41.9,0.45,1.05,0.58,1.21,4.54,4.54,76111.5,0.39,止盈(反),27
38,2026-05-24,sell,1,27,0.238,27.4,0.45,1.51,0.29,1.76,0.06,0.06,77427.4,-1.73,止损(反),11
39,2026-05-25,buy,1,11,0.092,22.5,0.47,0.15,3.03,0.53,0.85,0.85,76717.9,-0.92,止损(反),17
40,2026-05-26,sell,2,17,0.251,23.4,0.44,0.1,8.34,1.39,0.86,0.86,74006.5,3.53,止盈(反),87
41,2026-05-29,buy,0,87,0.116,26.9,0.64,0.51,1.3,1.76,0.61,0.61,73494.4,-0.69,止损(反),48
42,2026-05-31,sell,0,48,0.296,15.6,0.29,0.6,1.66,1.89,0.35,0.35,62372.1,15.13,止盈(反),159
43,2026-06-07,buy,0,159,0.459,25.8,0.81,0.6,0.46,1.53,1.13,1.13,61513.6,-1.38,止损(反),55
44,2026-06-09,sell,0,55,0.447,18.2,0.86,1.38,0.71,4.53,1.49,1.49,62598.8,-1.76,止损(反),25
45,2026-06-10,buy,1,25,0.114,26.4,0.98,0.71,1.37,2.51,0.03,0.03,63907.3,2.09,止盈(反),97
46,2026-06-14,sell,0,97,0.182,28.8,0.37,0.32,2.79,1.17,1.1,1.1,65276.8,-2.14,止损(反),5
47,2026-06-14,buy,1,5,0.22,27.6,0.59,3.39,0.31,5.92,1.72,1.72,65713.0,0.67,止盈(反),29
48,2026-06-16,sell,1,29,0.014,33.4,0.57,1.6,0.14,1.33,0.27,0.27,65835.1,-0.19,止损(反),38
49,2026-06-17,buy,0,38,0.002,21.0,0.75,0.23,5.44,2.36,0.71,0.71,64278.2,-2.36,止损(反),3
50,2026-06-17,sell,1,3,0.28,21.0,1.05,1.79,0.35,2.99,0.59,0.59,63547.9,1.14,止盈(反),54
51,2026-06-20,buy,0,54,0.275,18.9,0.52,0.16,3.0,0.57,0.11,1.01,63278.9,-0.42,止损(反),46
52,2026-06-21,sell,0,46,0.496,22.5,0.49,1.57,0.1,1.75,0.0,0.0,64570.1,-2.04,止损(反),2
53,2026-06-22,buy,1,2,0.103,21.8,0.65,1.68,0.4,3.78,0.18,0.18,63597.9,-1.51,止损(反),27
54,2026-06-23,sell,2,27,0.129,13.4,0.6,1.17,0.11,0.99,2.84,4.53,61560.3,3.2,止盈(反),49
55,2026-06-25,buy,0,49,0.143,24.6,0.84,0.48,1.19,1.07,0.72,0.72,58258.6,-5.36,止损(反),8
56,2026-06-25,sell,1,8,0.148,20.3,1.26,4.0,0.12,5.9,0.0,0.0,60388.7,-3.66,止损(反),100
57,2026-06-29,buy,0,100,0.22,24.3,1.01,0.86,0.52,1.51,0.24,0.29,58374.4,-3.34,止损(反),19
58,2026-06-30,sell,1,19,0.388,27.1,0.64,2.11,0.05,3.76,0.58,0.58,60123.2,-3.0,止损(反),27
59,2026-07-01,buy,1,27,0.338,29.1,0.9,1.12,0.72,2.47,0.28,0.4,62643.0,4.19,止盈(反),114
60,2026-07-06,sell,0,114,0.04,20.3,0.51,0.71,0.28,1.32,3.12,4.24,63519.9,-1.4,止损(反),6
61,2026-07-06,buy,1,6,0.139,20.8,0.88,2.68,0.01,2.87,0.77,0.77,62741.0,-1.23,止损(反),36
62,2026-07-08,sell,0,36,0.073,16.5,0.78,0.44,0.88,0.53,0.63,1.9,63110.9,-0.59,止损(反),38
63,2026-07-09,buy,0,38,0.264,23.7,0.69,1.01,0.12,0.78,0.84,0.84,63780.1,1.06,止盈(反),54
64,2026-07-11,sell,0,54,0.219,21.0,0.35,1.77,0.14,3.13,0.51,0.51,63940.2,-0.25,止损(反),61
65,2026-07-14,buy,0,61,0.451,20.7,0.59,2.99,0.09,6.4,3.06,3.06,64210.1,0.42,止盈(反),43
66,2026-07-16,sell,0,43,0.162,19.7,0.54,1.55,0.3,1.72,1.03,1.1,64018.1,0.3,止盈(反),34
67,2026-07-17,buy,0,34,0.034,27.5,0.64,1.12,0.42,1.67,0.83,0.83,64098.8,0.13,止盈(反),60
68,2026-07-20,sell,0,60,0.171,28.6,0.51,1.25,0.23,3.38,1.15,1.15,64970.8,-1.36,止损(反),6
69,2026-07-20,buy,1,6,0.114,24.3,0.61,1.77,0.16,2.28,0.02,1.88,65606.7,0.98,止盈(反),49
70,2026-07-22,sell,0,49,0.315,19.7,0.44,1.32,0.26,2.27,0.23,0.23,64477.4,1.72,止盈(反),84
71,2026-07-26,buy,0,84,0.262,18.8,0.2,1.03,0.19,1.0,0.54,0.68,64660.1,0.28,止盈(反),38
72,2026-07-27,sell,0,38,0.017,31.4,0.58,1.4,0.87,3.32,0.74,0.74,64400.3,0.4,止盈(反),40
73,2026-07-29,buy,0,40,0.247,21.1,0.54,1.06,0.24,1.58,0.99,0.99,63483.2,-1.42,止损(反),14
74,2026-07-29,sell,1,14,0.081,13.1,0.8,0.14,4.29,0.93,0.5,0.5,63419.5,0.1,止盈(反),78
75,2026-08-02,buy,0,78,0.199,23.3,0.35,2.05,0.37,4.58,0.88,0.88,62838.6,-0.92,止损(反),25
76,2026-08-03,sell,1,25,0.272,17.8,0.41,1.06,0.47,1.95,1.0,2.23,63321.8,-0.77,止损(反),10
77,2026-08-03,buy,1,10,0.015,21.6,0.51,2.0,0.3,3.48,2.06,2.25,64753.8,2.26,止盈(反),134
78,2026-08-09,sell,0,134,0.218,19.2,0.15,0.37,2.04,2.01,0.14,0.14,65188.7,-0.67,止损(反),10
79,2026-08-09,buy,1,10,0.102,18.4,0.16,2.56,0.19,3.96,0.88,0.88,64870.1,-0.49,止损(反),10
80,2026-08-09,sell,2,10,0.108,27.5,0.24,1.11,0.68,2.39,0.49,0.49,64202.5,1.03,止盈(反),60
81,2026-08-12,buy,0,60,0.288,21.4,0.31,0.5,0.44,0.9,1.34,1.34,63347.7,-1.33,止损(反),3
82,2026-08-12,sell,1,3,0.001,21.5,0.43,1.7,0.23,3.15,0.25,0.25,63228.3,0.19,止盈(反),98
83,2026-08-16,buy,0,98,0.253,18.8,0.12,1.63,1.15,6.55,0.22,0.22,62900.0,-0.52,止损(反),5
84,2026-08-16,sell,1,5,0.189,22.5,0.19,1.23,1.48,2.81,1.82,1.82,63377.9,-0.76,止损(反),5
85,2026-08-17,buy,2,5,0.288,21.6,0.31,1.55,0.57,3.61,0.95,1.63,76071.4,20.03,止盈(反),147
86,2026-08-23,sell,0,147,0.287,17.3,0.65,1.12,1.26,5.32,0.39,0.39,77826.0,-2.31,止损(反),16
87,2026-08-23,buy,1,16,0.143,13.2,0.57,1.0,0.51,1.41,0.34,0.34,78162.8,0.43,止盈(反),47
88,2026-08-25,sell,0,47,0.234,22.1,0.85,1.1,0.12,0.76,0.53,0.53,79720.0,-1.99,止损(反),36
89,2026-08-27,buy,0,36,0.345,17.5,0.58,1.47,0.47,3.47,1.69,1.69,79258.2,-0.58,止损(反),25
90,2026-08-28,sell,1,25,0.059,22.5,0.56,0.52,0.19,0.83,0.69,1.95,78756.2,0.63,止盈(反),51
91,2026-08-30,buy,0,51,0.428,14.1,0.3,2.62,0.1,6.39,0.76,2.67,77640.2,-1.42,止损(反),11
92,2026-08-30,sell,1,11,0.123,26.0,0.64,1.51,1.0,3.96,0.58,0.58,79140.1,-1.93,止损(反),30
93,2026-09-01,buy,1,30,0.167,14.2,0.54,1.03,0.1,1.32,0.0,0.0,77560.4,-2.0,止损(反),11
94,2026-09-01,sell,1,11,0.326,16.7,0.61,0.68,1.08,1.78,2.47,2.47,77900.1,-0.44,止损(反),43
95,2026-09-03,buy,0,43,0.198,14.0,0.52,0.48,0.58,1.08,6.56,8.53,79420.0,1.95,止盈(反),25
96,2026-09-04,sell,1,25,0.281,38.6,0.8,2.77,0.25,6.03,1.27,1.27,80300.1,-1.11,止损(反),59
97,2026-09-06,buy,0,59,0.131,16.4,0.35,1.04,0.99,2.71,0.37,0.37,79357.9,-1.17,止损(反),8
98,2026-09-07,sell,1,8,0.187,13.2,0.44,0.74,1.81,2.81,0.3,0.36,79247.4,0.14,止盈(反),48
99,2026-09-09,buy,0,48,0.217,25.4,0.45,0.33,1.03,0.85,1.38,1.38,78196.3,-1.33,止损(反),12
100,2026-09-09,sell,1,12,0.041,23.6,0.63,0.39,1.23,0.62,0.99,0.99,77990.1,0.26,止盈(反),41
101,2026-09-11,buy,0,41,0.219,33.9,0.67,1.9,1.31,8.32,3.64,3.64,76773.3,-1.56,止损(反),44
102,2026-09-13,sell,0,44,0.369,12.1,0.22,1.91,0.42,4.45,2.04,2.04,77251.1,-0.62,止损(反),8
103,2026-09-13,buy,1,8,0.063,23.7,0.3,0.63,0.57,1.73,0.59,0.74,76679.3,-0.74,止损(反),6
104,2026-09-13,sell,2,6,0.236,20.5,0.32,2.46,0.08,2.48,1.47,1.47,77573.7,-1.17,止损(反),4
105,2026-09-14,buy,3,4,0.161,24.0,0.46,1.39,0.43,2.63,0.75,0.83,77876.1,0.39,止盈(反),23
106,2026-09-15,sell,2,23,0.069,29.0,0.54,0.13,5.53,1.1,0.89,1.76,76937.6,1.21,止盈(反),73
107,2026-09-18,buy,0,73,0.235,11.2,0.44,0.69,0.68,1.17,2.24,2.6,80312.1,4.39,止盈(反),48
108,2026-09-20,sell,0,48,0.251,41.9,0.43,2.22,0.21,3.89,0.61,0.61,81307.5,-1.24,止损(反),14
