time,direction,entry_price,result,profit_U,bars_since_last_flip,range_position,distance_to_range_high_ATR,distance_to_range_low_ATR,body_ATR,upper_wick_ratio,lower_wick_ratio,candle_range_ATR,mom12_ATR,current_bar_contribution,volume_ratio,ADX14,ATR_percent,future_max_profit,future_max_drawdown,bars_to_max_profit,bars_to_max_drawdown
2025-01-01 08:00,sell,93435.8,loss,-17.53,19,0.4,5.09,3.39,0.45,0.27,0.65,0.87,-0.26,1.73,0.58,12.1,0.6,0.96,3.16,1,13
2025-01-01 21:00,buy,94980.0,win,51.84,13,0.7,2.48,5.77,0.36,1.16,0.51,0.97,2.98,0.12,1.0,16.1,0.56,14.84,1.09,123,3
2025-01-07 14:00,sell,99998.7,win,46.99,137,0.463,5.18,4.46,1.18,0.38,0.39,2.09,-3.07,0.38,3.66,30.5,0.54,16.15,0.3,54,1
2025-01-10 10:00,buy,95200.0,loss,-13.98,68,0.816,1.3,5.77,0.6,0.19,0.11,0.78,3.97,0.15,0.69,27.3,0.73,0.94,4.3,7,5
2025-01-12 22:00,sell,93964.2,loss,-15.62,60,0.148,3.8,0.66,0.94,0.07,0.46,1.44,-0.13,7.19,1.75,15.9,0.43,0.05,5.02,1,2
2025-01-13 00:00,buy,95337.6,loss,-19.3,2,0.721,1.19,3.07,1.48,0.8,0.12,2.85,1.88,0.79,3.59,16.5,0.56,0.17,3.91,1,6
2025-01-13 07:00,sell,93592.7,loss,-1.03,7,0.125,3.73,0.53,0.07,7.67,2.95,0.77,-1.68,0.04,1.04,14.6,0.68,7.15,0.34,7,13
2025-01-13 20:00,buy,93595.9,win,42.1,13,0.658,2.06,3.96,1.12,0.17,0.32,1.66,0.47,2.4,0.83,27.8,1.23,6.34,0.16,52,1
2025-01-16 14:00,sell,97630.0,loss,-42.48,66,0.412,4.29,3.01,1.91,0.22,0.08,2.48,-2.64,0.72,3.44,31.5,0.78,0.45,5.58,1,11
2025-01-17 01:00,buy,101679.9,win,16.03,11,0.964,0.22,5.92,1.77,0.12,0.06,2.09,3.0,0.59,2.14,19.5,0.85,5.54,1.01,67,1
2025-01-19 22:00,sell,103411.6,loss,-41.42,69,0.434,2.44,1.87,0.23,2.81,8.08,2.75,-1.14,0.2,3.53,18.8,1.22,3.1,5.22,2,8
2025-01-20 06:00,buy,107591.5,loss,-47.22,8,0.771,1.18,3.96,2.55,0.46,0.03,3.8,1.24,2.05,3.87,26.6,1.9,1.0,3.45,1,11
2025-01-20 21:00,sell,102618.8,loss,-42.67,15,0.297,3.47,1.47,0.48,0.45,0.07,0.73,-2.62,0.18,0.21,28.5,2.07,1.18,2.21,4,21
2025-01-21 18:00,buy,106895.0,loss,-37.83,21,0.704,2.05,4.89,0.47,0.61,0.43,0.97,3.12,0.15,1.44,23.7,1.41,0.22,2.85,2,31
2025-01-23 01:00,sell,102958.3,loss,-23.07,31,0.303,5.04,2.2,0.41,1.05,1.05,1.25,-1.29,0.32,1.14,24.8,0.84,2.0,3.6,9,13
2025-01-23 14:00,buy,105230.8,loss,-25.89,13,0.656,1.79,3.41,2.31,0.31,0.2,3.49,2.19,1.05,5.57,36.5,1.12,1.64,2.58,28,7
2025-01-26 23:00,sell,102611.6,win,5.88,81,0.037,6.34,0.24,3.72,0.0,0.06,3.96,-4.77,0.78,6.98,21.7,0.45,10.52,1.46,8,1
2025-01-27 14:00,buy,101905.6,loss,-16.42,15,0.534,2.92,3.34,1.13,0.3,0.28,1.77,0.73,1.54,1.81,48.2,1.22,1.59,2.46,25,4
2025-01-28 21:00,sell,100334.1,loss,-39.57,31,0.372,4.61,2.73,0.97,0.3,0.07,1.33,-2.78,0.35,1.09,20.7,0.95,0.07,4.72,1,23
2025-01-29 20:00,buy,104204.1,loss,-16.07,23,0.863,0.63,3.97,0.59,1.06,1.26,1.97,1.46,0.41,2.7,15.8,0.95,2.28,1.64,19,46
2025-01-31 18:00,sell,102634.0,win,35.98,46,0.244,4.6,1.48,2.35,0.12,0.03,2.7,-2.25,1.05,3.36,17.9,0.81,13.67,0.48,56,1
2025-02-03 15:00,buy,98838.8,loss,-24.56,69,0.688,2.13,4.69,1.39,0.29,0.18,2.05,2.96,0.47,2.1,50.2,1.64,2.3,1.49,7,30
2025-02-04 21:00,sell,96510.0,loss,-25.03,30,0.465,4.72,4.11,1.66,0.01,0.04,1.75,-1.43,1.16,1.8,17.3,1.33,0.66,2.09,46,17
2025-02-07 13:00,buy,98829.2,loss,-20.57,64,0.899,0.48,4.32,1.17,0.03,0.95,2.32,1.97,0.59,3.67,17.0,0.74,1.8,2.66,1,6
2025-02-07 19:00,sell,96894.7,loss,-6.66,6,0.274,3.36,1.27,0.89,0.1,0.02,1.0,0.15,-5.93,0.72,16.6,1.0,2.26,0.83,50,58
2025-02-10 07:00,buy,97443.0,loss,-7.8,60,0.915,0.35,3.71,0.38,0.16,0.16,0.5,1.87,0.2,0.55,16.2,0.76,1.43,1.05,22,30
2025-02-11 13:00,sell,96780.0,loss,-3.27,30,0.546,3.45,4.16,1.97,0.08,0.11,2.35,-2.45,0.8,2.92,19.7,0.51,5.44,1.09,24,1
2025-02-12 16:00,buy,96999.4,loss,-17.9,27,0.661,1.63,3.18,1.3,0.1,0.57,2.16,1.55,0.83,2.08,18.5,0.95,1.27,1.94,6,24
2025-02-13 16:00,sell,95359.7,loss,-25.09,24,0.314,4.23,1.94,0.96,0.02,0.23,1.2,-2.4,0.4,1.34,22.1,0.7,0.09,3.6,1,24
2025-02-14 16:00,buy,97657.2,loss,-9.25,24,0.827,0.81,3.89,1.14,0.13,0.63,2.01,1.41,0.81,2.06,15.5,0.64,1.89,1.55,1,5
2025-02-16 13:00,sell,96851.3,win,8.32,45,0.223,7.61,2.18,1.09,0.34,0.49,1.99,-3.05,0.36,2.93,18.5,0.27,13.29,1.88,54,8
2025-02-19 09:00,buy,95948.3,win,9.68,68,0.701,2.24,5.24,0.62,0.31,0.04,0.84,1.78,0.35,0.6,14.2,0.51,7.18,1.09,52,10
2025-02-21 17:00,sell,96972.7,win,132.89,56,0.383,3.21,2.0,1.62,0.17,0.11,2.07,-1.76,0.92,2.19,42.2,0.81,23.94,0.33,159,1
2025-02-28 15:00,buy,83989.0,win,62.1,166,0.601,2.71,4.09,1.34,0.23,0.06,1.73,2.51,0.53,1.62,42.3,1.68,7.86,0.58,50,3
2025-03-03 14:00,sell,89288.4,win,27.31,71,0.452,4.21,3.47,3.13,0.04,0.03,3.33,-2.94,1.06,4.94,37.3,1.53,5.71,1.48,25,1
2025-03-04 18:00,buy,86760.2,win,28.58,28,0.394,5.33,3.46,0.87,0.12,0.23,1.18,1.9,0.46,1.15,37.2,1.75,4.0,0.27,35,6
2025-03-06 16:00,sell,89326.5,win,63.33,46,0.628,3.03,5.11,1.29,0.17,0.08,1.61,-2.55,0.51,1.71,24.1,1.3,8.07,1.7,79,8
2025-03-10 11:00,buy,83580.0,loss,-55.72,91,0.544,2.65,3.16,1.13,0.17,0.18,1.51,2.47,0.46,1.1,30.3,1.38,0.17,4.03,1,5
2025-03-10 16:00,sell,79006.1,loss,-54.85,5,0.01,5.52,0.06,0.76,0.21,0.07,0.97,-2.66,0.28,1.17,27.3,1.72,1.77,3.28,8,26
2025-03-11 18:00,buy,83260.2,loss,-27.6,26,0.89,0.61,4.95,1.46,0.11,0.01,1.63,2.35,0.62,1.39,20.7,1.62,0.96,1.98,18,21
2025-03-13 15:00,sell,81045.2,loss,-25.7,45,0.113,3.95,0.5,1.09,0.19,0.09,1.39,-2.86,0.38,2.18,11.4,1.09,1.25,2.54,2,19
2025-03-14 10:00,buy,83047.2,loss,-8.68,19,0.675,2.53,5.24,0.45,0.93,0.43,1.07,2.79,0.16,1.09,15.0,0.72,3.82,1.16,5,49
2025-03-16 11:00,sell,82409.8,loss,-22.72,49,0.017,7.0,0.12,3.03,0.03,0.04,3.23,-4.66,0.65,5.74,21.3,0.5,1.03,6.64,12,5
2025-03-17 17:00,buy,84199.9,loss,-21.71,30,0.696,1.33,3.04,1.04,0.2,0.12,1.37,1.48,0.7,1.36,10.9,0.87,0.78,2.69,2,13
2025-03-18 06:00,sell,82455.8,loss,-14.06,13,0.149,4.94,0.87,1.04,0.0,0.39,1.45,-3.73,0.28,1.61,15.9,0.67,2.42,2.1,8,27
2025-03-19 09:00,buy,83532.5,win,2.2,27,0.661,2.86,5.58,0.29,0.63,0.39,0.58,3.42,0.08,0.71,21.4,0.52,9.12,0.36,15,2
2025-03-20 16:00,sell,83800.0,loss,-11.64,31,0.412,4.41,3.09,1.06,0.27,0.18,1.54,-2.28,0.46,2.41,30.1,0.99,0.76,1.55,21,67
2025-03-23 11:00,buy,84691.9,win,20.66,67,0.794,1.77,6.83,1.01,1.76,0.0,2.77,3.78,0.27,5.14,15.2,0.26,18.42,0.55,27,1
2025-03-25 03:00,sell,86526.0,loss,-19.38,40,0.521,3.94,4.28,0.58,0.41,0.61,1.17,-3.12,0.19,1.08,39.9,0.67,0.38,3.15,1,14
2025-03-25 19:00,buy,88116.0,loss,-16.63,16,0.825,1.25,5.92,0.57,0.49,0.02,0.86,3.06,0.19,1.02,28.0,0.61,0.81,3.1,1,19
2025-03-26 15:00,sell,86738.5,win,36.34,20,0.192,3.32,0.79,0.06,6.76,5.53,0.86,-0.76,0.09,1.4,22.2,0.63,9.99,1.84,105,11
2025-03-31 14:00,buy,83499.6,loss,-9.05,119,0.892,0.36,2.98,1.32,0.27,0.01,1.69,2.08,0.64,3.23,35.5,0.9,6.73,1.64,54,8
2025-04-02 22:00,sell,82827.2,loss,-20.2,56,0.085,4.86,0.45,1.72,0.0,0.07,1.84,-1.73,0.99,1.62,27.6,1.42,1.41,1.56,17,34
2025-04-04 08:00,buy,84417.7,loss,-22.72,34,0.44,6.75,5.31,0.68,0.59,0.0,1.09,3.34,0.2,1.75,14.4,0.72,0.54,3.24,1,2
2025-04-04 10:00,sell,82584.1,win,42.01,2,0.192,7.67,1.82,2.57,0.06,0.08,2.92,-0.19,13.43,3.91,15.4,0.94,10.39,2.63,69,7
2025-04-07 14:00,buy,79032.3,loss,-23.44,76,0.487,3.09,2.93,0.44,3.23,0.69,2.17,0.38,1.16,4.69,46.2,1.95,1.19,1.6,12,27
2025-04-08 18:00,sell,77259.0,loss,-64.86,28,0.409,4.17,2.89,0.09,7.87,2.11,0.96,-2.29,0.04,1.1,24.6,1.23,2.78,5.28,7,23
2025-04-09 17:00,buy,82192.8,loss,-42.67,23,0.988,0.07,5.46,2.83,0.02,0.16,3.36,3.93,0.72,4.86,21.3,1.69,1.01,2.58,4,22
2025-04-10 15:00,sell,78768.1,loss,-47.49,22,0.462,4.64,3.99,2.41,0.04,0.07,2.67,-2.89,0.83,4.05,24.2,1.32,0.29,3.52,1,18
2025-04-11 09:00,buy,82430.3,win,13.14,18,0.851,1.49,8.51,1.01,0.01,0.23,1.26,3.46,0.29,1.0,17.2,0.95,4.74,1.39,40,5
2025-04-13 13:00,sell,83595.9,loss,-26.69,52,0.469,4.25,3.76,1.42,0.18,0.14,1.88,-2.76,0.52,2.41,28.1,0.72,0.96,3.84,6,40
2025-04-15 07:00,buy,85743.1,loss,-19.17,42,0.946,0.29,5.07,0.65,0.12,0.0,0.73,1.55,0.42,0.47,20.7,0.63,1.37,2.98,6,11
2025-04-15 18:00,sell,84184.8,loss,-11.2,11,0.337,3.96,2.01,0.51,0.43,0.15,0.8,-2.09,0.24,0.87,19.7,0.69,1.87,1.9,7,21
2025-04-16 16:00,buy,85043.7,loss,-5.64,22,0.575,2.41,3.26,0.32,1.04,0.87,0.92,2.44,0.13,1.03,21.5,0.7,1.1,2.99,71,1
2025-04-20 08:00,sell,84649.5,loss,-6.84,88,0.265,4.76,1.72,0.59,0.14,0.25,0.83,-2.47,0.24,1.12,18.1,0.26,3.24,2.86,3,12
2025-04-20 20:00,buy,85144.0,win,95.8,12,0.685,1.83,3.97,1.62,0.28,0.06,2.18,1.63,1.0,2.39,26.4,0.36,34.82,1.52,114,2
2025-04-28 00:00,sell,93386.0,loss,-13.3,172,0.077,5.13,0.43,0.87,0.16,0.49,1.45,-0.87,1.0,2.5,18.2,0.39,1.78,3.42,1,6
2025-04-28 06:00,buy,94534.5,loss,-8.77,6,0.708,1.69,4.11,0.78,0.32,0.0,1.03,0.64,1.23,1.34,19.7,0.46,2.38,2.29,6,9
2025-04-28 15:00,sell,93800.0,loss,-25.88,9,0.375,2.72,1.63,0.88,0.2,0.47,1.47,-0.01,117.55,1.25,19.1,0.7,1.43,3.92,47,67
2025-05-01 10:00,buy,96134.0,loss,-3.81,67,0.934,0.46,6.53,1.31,0.35,0.0,1.78,4.14,0.32,3.3,18.6,0.52,3.45,0.76,28,1
2025-05-03 10:00,sell,95863.4,win,7.8,48,0.053,5.98,0.33,1.05,0.0,0.15,1.21,-2.24,0.47,1.56,20.0,0.35,7.56,1.82,75,5
2025-05-06 18:00,buy,95019.5,win,80.47,80,0.706,1.35,3.24,1.04,0.06,0.01,1.12,1.08,0.97,0.89,14.8,0.55,20.83,1.23,133,3
2025-05-12 14:00,sell,102760.5,loss,-15.2,140,0.073,3.92,0.31,1.95,0.04,0.16,2.33,-1.4,1.39,3.07,26.8,0.76,2.63,2.09,4,26
2025-05-13 17:00,buy,104220.0,loss,-19.13,27,0.686,2.38,5.18,0.8,0.11,0.02,0.9,2.65,0.3,0.72,14.6,0.65,1.11,2.85,2,36
2025-05-15 05:00,sell,102330.1,loss,-15.43,36,0.019,5.57,0.11,1.11,0.05,0.09,1.28,-1.88,0.59,1.16,24.2,0.46,2.12,3.12,9,11
2025-05-15 16:00,buy,103807.0,win,-0.72,11,0.68,1.59,3.38,0.81,0.01,0.39,1.13,1.29,0.63,1.76,29.2,0.71,2.94,1.77,72,3
2025-05-18 19:00,sell,103835.7,loss,-21.01,75,0.374,3.45,2.06,1.01,0.4,0.05,1.47,-0.09,11.47,1.29,29.5,0.6,1.01,3.43,1,3
2025-05-18 22:00,buy,105913.6,loss,-28.9,3,0.983,0.07,4.26,2.26,0.02,0.12,2.59,2.64,0.85,2.12,26.4,0.74,1.57,4.06,2,6
2025-05-19 04:00,sell,102959.0,loss,-18.4,6,0.081,4.54,0.4,0.66,0.25,0.4,1.09,-3.07,0.21,1.91,25.8,0.9,1.01,2.14,2,11
2025-05-19 15:00,buy,104750.5,win,40.08,11,0.532,2.93,3.33,0.58,0.38,0.13,0.87,1.45,0.4,1.25,19.2,0.78,8.84,0.75,74,22
2025-05-23 11:00,sell,109053.3,loss,-1.54,92,0.505,4.17,4.25,2.78,0.02,0.12,3.17,-3.69,0.76,3.97,21.9,0.65,3.58,1.27,52,3
2025-05-25 22:00,buy,109112.0,loss,-7.91,59,0.884,0.51,3.9,2.54,0.03,0.07,2.82,3.33,0.76,2.71,29.2,0.61,1.94,2.48,18,27
2025-05-27 01:00,sell,108358.3,win,31.63,27,0.473,2.97,2.67,1.1,0.0,1.18,2.4,-1.75,0.63,3.72,25.0,0.63,7.79,3.45,97,12
2025-05-31 21:00,buy,104822.9,loss,-5.67,116,0.53,4.14,4.66,0.21,0.47,1.97,0.73,3.42,0.06,0.72,28.2,0.37,2.74,2.88,35,12
2025-06-02 10:00,sell,104333.0,loss,-13.54,37,0.41,3.32,2.31,0.45,0.43,0.58,0.9,-2.42,0.18,1.57,13.6,0.45,1.54,3.06,4,12
