idx,date,type,score,blocked,status,confirmed,m1,m2,m3,pen,entry,tp1,sl,exit,reason,pnl_pct,pnl_u,bars
1,2026-03-23,buy,0.0,Y,拦截,N,0.0,0.0,0.0,0.0,70099.9,71151.4,68697.9,,评分拦截,,,
2,2026-03-24,sell,55.0,Y,拦截,Y,40.0,15.0,20.0,-20.0,69446.9,68405.2,70835.8,,评分拦截,,,
3,2026-03-25,buy,30.0,Y,拦截,N,25.0,25.0,0.0,-20.0,71083.0,72149.2,69661.3,,评分拦截,,,
4,2026-03-26,sell,50.0,Y,拦截,N,40.0,5.0,15.0,-10.0,69994.7,68944.8,71394.6,,评分拦截,,,
5,2026-03-30,buy,30.0,N,等待确认,Y,25.0,15.0,0.0,-10.0,67146.5,68153.7,65803.6,67851.5,评分确认·保本止损,1.05,9.99,11
6,2026-03-31,sell,43.0,Y,拦截,N,40.0,5.0,8.0,-10.0,66090.0,65098.7,67411.8,,评分拦截,,,
7,2026-03-31,buy,50.0,Y,拦截,Y,25.0,25.0,0.0,0.0,68228.9,69252.3,66864.3,,评分拦截,,,
8,2026-04-02,sell,63.0,Y,拦截,Y,40.0,25.0,8.0,-10.0,66828.3,65825.9,68164.9,,评分拦截,,,
9,2026-04-04,buy,65.0,Y,拦截,N,40.0,25.0,0.0,0.0,67346.0,68356.2,65999.1,,评分拦截,,,
10,2026-04-05,sell,45.0,Y,拦截,N,40.0,25.0,0.0,-20.0,66767.1,65765.6,68102.4,,评分拦截,,,
11,2026-04-05,buy,15.0,N,等待确认,Y,0.0,15.0,0.0,0.0,67349.7,68359.9,66002.7,68461.8,评分确认·保本止损,1.65,16.0,30
12,2026-04-07,sell,60.0,Y,拦截,N,25.0,25.0,20.0,-10.0,68368.1,67342.6,69735.5,,评分拦截,,,
13,2026-04-07,buy,35.0,N,等待确认,Y,40.0,5.0,0.0,-10.0,69898.0,70946.5,68500.0,70805.9,评分确认·保本止损,1.3,12.48,28
14,2026-04-12,sell,45.0,Y,拦截,N,40.0,15.0,0.0,-10.0,71610.0,70535.9,73042.2,,评分拦截,,,
15,2026-04-13,buy,63.0,Y,拦截,N,40.0,25.0,8.0,-10.0,72347.0,73432.2,70900.1,,评分拦截,,,
16,2026-04-15,sell,15.0,N,等待确认,Y,25.0,0.0,0.0,-10.0,73860.8,72752.9,75338.0,75102.0,评分确认·止损,-1.68,-17.31,13
17,2026-04-16,buy,45.0,Y,拦截,N,40.0,15.0,0.0,-10.0,75317.0,76446.8,73810.7,,评分拦截,,,
18,2026-04-18,sell,65.0,Y,拦截,N,40.0,25.0,20.0,-20.0,76008.5,74868.4,77528.7,,评分拦截,,,
19,2026-04-20,buy,40.0,Y,拦截,N,25.0,15.0,0.0,0.0,75669.8,76804.8,74156.4,,评分拦截,,,
20,2026-04-21,sell,45.0,Y,拦截,N,40.0,15.0,0.0,-10.0,74985.7,73860.9,76485.4,,评分拦截,,,
21,2026-04-22,buy,63.0,Y,拦截,N,40.0,25.0,8.0,-10.0,77580.3,78744.0,76028.7,,评分拦截,,,
22,2026-04-23,sell,50.0,Y,拦截,N,25.0,25.0,20.0,-20.0,77370.3,76209.7,78917.7,,评分拦截,,,
23,2026-04-26,buy,73.0,Y,拦截,N,40.0,25.0,8.0,0.0,77944.1,79113.3,76385.2,,评分拦截,,,
24,2026-04-27,sell,30.0,Y,拦截,N,25.0,15.0,0.0,-10.0,77663.9,76498.9,79217.2,,评分拦截,,,
25,2026-04-29,buy,55.0,Y,拦截,N,40.0,25.0,0.0,-10.0,77216.9,78375.2,75672.6,,评分拦截,,,
26,2026-04-29,sell,0.0,N,等待确认,Y,0.0,0.0,0.0,-10.0,76540.0,75391.9,78070.8,75736.3,评分确认·保本止损,1.05,10.01,23
27,2026-05-01,buy,45.0,Y,拦截,N,40.0,5.0,0.0,0.0,77087.3,78243.6,75545.6,,评分拦截,,,
28,2026-05-04,sell,0.0,Y,拦截,N,0.0,0.0,0.0,-20.0,78756.9,77575.5,80332.0,,评分拦截,,,
29,2026-05-05,buy,13.0,Y,拦截,N,25.0,8.0,0.0,-20.0,80526.7,81734.6,78916.2,,评分拦截,,,
30,2026-05-07,sell,40.0,Y,拦截,N,25.0,25.0,0.0,-10.0,80976.2,79761.6,82595.7,,评分拦截,,,
31,2026-05-09,buy,23.0,N,等待确认,Y,25.0,8.0,0.0,-10.0,80580.0,81788.7,78968.4,80627.6,评分确认·止损,0.06,0.09,28
32,2026-05-11,sell,5.0,Y,拦截,N,0.0,15.0,0.0,-10.0,80700.7,79490.2,82314.7,,评分拦截,,,
33,2026-05-14,buy,45.0,N,等待确认,Y,40.0,15.0,0.0,-10.0,80917.7,82131.5,79299.3,79974.8,评分确认·止损,-1.17,-12.15,23
34,2026-05-15,sell,75.0,Y,拦截,N,40.0,25.0,20.0,-10.0,78709.5,77528.9,80283.7,,评分拦截,,,
35,2026-05-20,buy,13.0,Y,拦截,N,25.0,8.0,0.0,-20.0,77670.4,78835.5,76117.0,,评分拦截,,,
36,2026-05-21,sell,40.0,Y,拦截,N,25.0,25.0,0.0,-10.0,76943.3,75789.2,78482.2,,评分拦截,,,
37,2026-05-23,buy,40.0,Y,拦截,N,25.0,5.0,20.0,-10.0,75816.0,76953.2,74299.7,,评分拦截,,,
38,2026-05-24,sell,70.0,Y,拦截,N,40.0,25.0,15.0,-10.0,76111.5,74969.8,77633.7,,评分拦截,,,
39,2026-05-25,buy,50.0,Y,拦截,Y,25.0,25.0,0.0,0.0,77427.4,78588.8,75878.9,,评分拦截,,,
40,2026-05-26,sell,20.0,Y,拦截,N,25.0,15.0,0.0,-20.0,76717.9,75567.1,78252.3,,评分拦截,,,
41,2026-05-29,buy,50.0,Y,拦截,N,25.0,15.0,20.0,-10.0,74006.5,75116.6,72526.4,,评分拦截,,,
42,2026-05-31,sell,48.0,Y,拦截,N,25.0,25.0,8.0,-10.0,73494.4,72392.0,74964.3,,评分拦截,,,
43,2026-06-07,buy,75.0,Y,拦截,Y,40.0,25.0,20.0,-10.0,62372.1,63307.7,61124.7,,评分拦截,,,
44,2026-06-09,sell,55.0,Y,拦截,Y,40.0,25.0,0.0,-10.0,61513.6,60590.9,62743.9,,评分拦截,,,
45,2026-06-10,buy,45.0,Y,拦截,N,40.0,15.0,0.0,-10.0,62598.8,63537.8,61346.8,,评分拦截,,,
46,2026-06-14,sell,45.0,N,等待确认,Y,25.0,15.0,15.0,-10.0,63907.3,62948.7,65185.4,64432.7,评分确认·止损,-0.82,-8.73,5
47,2026-06-14,buy,65.0,Y,拦截,N,40.0,15.0,20.0,-10.0,65276.8,66256.0,63971.3,,评分拦截,,,
48,2026-06-16,sell,30.0,Y,拦截,N,25.0,15.0,0.0,-10.0,65713.0,64727.3,67027.3,,评分拦截,,,
49,2026-06-17,buy,5.0,Y,拦截,N,25.0,0.0,0.0,-20.0,65835.1,66822.6,64518.4,,评分拦截,,,
50,2026-06-17,sell,45.0,Y,拦截,N,40.0,15.0,0.0,-10.0,64278.2,63314.0,65563.8,,评分拦截,,,
51,2026-06-20,buy,50.0,Y,拦截,N,25.0,15.0,20.0,-10.0,63547.9,64501.1,62276.9,,评分拦截,,,
52,2026-06-21,sell,65.0,Y,拦截,N,40.0,25.0,0.0,0.0,63278.9,62329.7,64544.5,,评分拦截,,,
53,2026-06-22,buy,45.0,Y,拦截,N,40.0,5.0,0.0,0.0,64570.1,65538.7,63278.7,,评分拦截,,,
54,2026-06-23,sell,55.0,Y,拦截,Y,40.0,25.0,0.0,-10.0,63597.9,62643.9,64869.9,,评分拦截,,,
55,2026-06-25,buy,30.0,Y,拦截,N,0.0,25.0,15.0,-10.0,61560.3,62483.7,60329.1,,评分拦截,,,
56,2026-06-25,sell,65.0,Y,拦截,N,40.0,15.0,20.0,-10.0,58258.6,57384.7,59423.8,,评分拦截,,,
57,2026-06-29,buy,15.0,Y,拦截,N,25.0,0.0,0.0,-10.0,60388.7,61294.5,59180.9,,评分拦截,,,
58,2026-06-30,sell,65.0,Y,拦截,N,40.0,25.0,0.0,0.0,58374.4,57498.8,59541.9,,评分拦截,,,
59,2026-07-01,buy,45.0,Y,拦截,N,40.0,15.0,0.0,-10.0,60123.2,61025.0,58920.7,,评分拦截,,,
60,2026-07-06,sell,30.0,Y,拦截,N,25.0,15.0,0.0,-10.0,62643.0,61703.4,63895.9,,评分拦截,,,
61,2026-07-06,buy,25.0,N,等待确认,Y,25.0,0.0,0.0,0.0,63519.9,64472.7,62249.5,64186.9,评分确认·保本止损,1.05,9.99,11
62,2026-07-08,sell,50.0,Y,拦截,N,25.0,25.0,0.0,0.0,62741.0,61799.9,63995.8,,评分拦截,,,
63,2026-07-09,buy,20.0,N,等待确认,Y,25.0,5.0,0.0,-10.0,63110.9,64057.6,61848.7,63986.4,评分确认·保本止损,1.39,13.37,54
