idx,date,type,score,blocked,filt,confirmed,m1,m2,m3,m4,pen,tp1_hit,entry,tp1,sl,exit,reason,outcome,pnl_pct,pnl_u,bars
1,2026-03-23,buy,0.0,Y,拦截,N,0.0,0.0,0.0,0.0,0.0,False,70099.9,71151.4,68697.9,,若成交·无成交记录,无成交记录,,,
2,2026-03-24,sell,60.0,N,放行,Y,0.0,15.0,25.0,20.0,0.0,False,69446.9,68405.2,70835.8,70990.5,止损,止损,-2.22,-22.74,8
3,2026-03-25,buy,60.0,N,放行,N,30.0,5.0,25.0,0.0,0.0,False,71083.0,72149.2,69661.3,70260.5,止损,止损,-1.16,-12.07,24
4,2026-03-26,sell,53.0,N,放行,N,0.0,25.0,18.0,10.0,0.0,True,69994.7,68944.8,71394.6,68395.9,保本止损,TP1,2.28,22.35,56
5,2026-03-30,buy,13.0,N,确认,Y,0.0,5.0,8.0,0.0,0.0,True,67146.5,68153.7,65803.6,67851.5,确认·保本止损,TP1,1.05,9.99,11
6,2026-03-31,sell,83.0,N,放行,N,30.0,25.0,18.0,10.0,0.0,False,66090.0,65098.7,67411.8,67892.9,止损,止损,-2.73,-27.79,7
7,2026-03-31,buy,15.0,N,确认,Y,0.0,5.0,25.0,0.0,-15.0,True,68228.9,69252.3,66864.3,68945.3,确认·保本止损,TP1,1.05,9.99,16
8,2026-04-02,sell,45.0,N,放行,Y,0.0,25.0,25.0,10.0,-15.0,True,66828.3,65825.9,68164.9,66126.6,保本止损,TP1,1.05,10.01,12
9,2026-04-04,buy,73.0,N,放行,N,30.0,25.0,18.0,0.0,0.0,False,67346.0,68356.2,65999.1,66802.4,止损,止损,-0.81,-8.57,15
10,2026-04-05,sell,33.0,Y,拦截,N,0.0,15.0,18.0,0.0,0.0,False,66767.1,65765.6,68102.4,67345.4,若成交·止损,止损,-0.87,-9.17,9
11,2026-04-05,buy,23.0,N,确认,Y,30.0,0.0,8.0,0.0,-15.0,True,67349.7,68359.9,66002.7,68461.8,确认·保本止损,TP1,1.65,16.0,30
12,2026-04-07,sell,40.0,N,放行,N,0.0,5.0,15.0,20.0,0.0,False,68368.1,67342.6,69735.5,69352.3,止损,止损,-1.44,-14.9,19
13,2026-04-07,buy,58.0,N,放行,Y,30.0,25.0,18.0,0.0,-15.0,True,69898.0,70946.5,68500.0,70805.9,保本止损,TP1,1.3,12.48,28
14,2026-04-12,sell,35.0,Y,拦截,N,0.0,25.0,25.0,0.0,-15.0,True,71610.0,70535.9,73042.2,70858.1,若成交·保本止损,TP1,1.05,10.01,36
15,2026-04-13,buy,85.0,N,放行,N,30.0,25.0,25.0,20.0,-15.0,True,72347.0,73432.2,70900.1,73577.2,保本止损,TP1,1.7,16.5,28
16,2026-04-15,sell,-10.0,N,确认,Y,0.0,5.0,0.0,0.0,-15.0,False,73860.8,72752.9,75338.0,75102.0,确认·止损,止损,-1.68,-17.31,13
17,2026-04-16,buy,53.0,N,放行,N,30.0,15.0,8.0,0.0,0.0,True,75317.0,76446.8,73810.7,76321.9,保本止损,TP1,1.33,12.84,40
18,2026-04-18,sell,60.0,N,放行,N,0.0,15.0,25.0,20.0,0.0,True,76008.5,74868.4,77528.7,75210.4,保本止损,TP1,1.05,10.01,26
19,2026-04-20,buy,30.0,Y,拦截,N,0.0,5.0,25.0,0.0,0.0,True,75669.8,76804.8,74156.4,76464.3,若成交·保本止损,TP1,1.05,9.99,23
20,2026-04-21,sell,80.0,N,放行,N,30.0,25.0,25.0,0.0,0.0,False,74985.7,73860.9,76485.4,76945.4,止损,止损,-2.61,-26.65,7
21,2026-04-22,buy,85.0,N,放行,N,30.0,25.0,25.0,20.0,-15.0,True,77580.3,78744.0,76028.7,78395.3,保本止损,TP1,1.05,10.0,22
22,2026-04-23,sell,50.0,N,放行,N,0.0,5.0,25.0,20.0,0.0,False,77370.3,76209.7,78917.7,77901.5,止损,止损,-0.69,-7.37,67
23,2026-04-26,buy,83.0,N,放行,N,30.0,25.0,18.0,10.0,0.0,True,77944.1,79113.3,76385.2,78762.5,保本止损,TP1,1.05,9.99,24
24,2026-04-27,sell,13.0,Y,拦截,N,0.0,5.0,8.0,0.0,0.0,True,77663.9,76498.9,79217.2,76668.8,若成交·保本止损,TP1,1.28,12.32,45
25,2026-04-29,buy,40.0,N,放行,N,0.0,15.0,25.0,0.0,0.0,False,77216.9,78375.2,75672.6,76588.3,止损,止损,-0.81,-8.64,9
26,2026-04-29,sell,40.0,N,放行,Y,30.0,0.0,0.0,10.0,0.0,True,76540.0,75391.9,78070.8,75736.3,保本止损,TP1,1.05,10.01,23
27,2026-05-01,buy,53.0,N,放行,N,0.0,25.0,18.0,10.0,0.0,True,77087.3,78243.6,75545.6,78179.5,保本止损,TP1,1.42,13.66,51
28,2026-05-04,sell,-15.0,Y,拦截,N,0.0,0.0,0.0,0.0,-15.0,False,78756.9,77575.5,80332.0,80419.0,若成交·止损,止损,-2.11,-21.61,3
29,2026-05-05,buy,35.0,Y,拦截,N,30.0,5.0,0.0,0.0,0.0,True,80526.7,81734.6,78916.2,81553.5,若成交·保本止损,TP1,1.28,12.24,36
30,2026-05-07,sell,5.0,Y,拦截,N,0.0,5.0,15.0,0.0,-15.0,True,80976.2,79761.6,82595.7,80006.5,若成交·保本止损,TP1,1.2,11.48,52
31,2026-05-09,buy,45.0,N,放行,Y,30.0,5.0,10.0,0.0,0.0,False,80580.0,81788.7,78968.4,80627.6,止损,止损,0.06,0.09,28
32,2026-05-11,sell,18.0,Y,拦截,N,0.0,0.0,18.0,0.0,0.0,False,80700.7,79490.2,82314.7,81954.8,若成交·止损,止损,-1.55,-16.05,14
33,2026-05-14,buy,35.0,N,确认,Y,0.0,25.0,25.0,0.0,-15.0,False,80917.7,82131.5,79299.3,79974.8,确认·止损,止损,-1.17,-12.15,23
34,2026-05-15,sell,85.0,N,放行,N,30.0,25.0,25.0,20.0,-15.0,False,78709.5,77528.9,80283.7,78559.6,止损,止损,0.19,1.41,45
35,2026-05-20,buy,-10.0,Y,拦截,N,0.0,5.0,0.0,0.0,-15.0,False,77670.4,78835.5,76117.0,77011.4,若成交·止损,止损,-0.85,-8.98,17
36,2026-05-21,sell,60.0,N,放行,N,30.0,5.0,25.0,0.0,0.0,True,76943.3,75789.2,78482.2,75732.3,保本止损,TP1,1.57,15.25,48
37,2026-05-23,buy,33.0,Y,拦截,N,0.0,5.0,8.0,20.0,0.0,True,75816.0,76953.2,74299.7,76738.2,若成交·保本止损,TP1,1.22,11.66,20
38,2026-05-24,sell,63.0,N,放行,N,0.0,25.0,18.0,20.0,0.0,False,76111.5,74969.8,77633.7,77409.3,止损,止损,-1.71,-17.56,5
39,2026-05-25,buy,28.0,N,确认,Y,30.0,5.0,8.0,0.0,-15.0,False,77427.4,78588.8,75878.9,76728.3,确认·止损,止损,-0.9,-9.53,16
40,2026-05-26,sell,33.0,Y,拦截,N,0.0,5.0,18.0,10.0,0.0,False,76717.9,75567.1,78252.3,77535.8,若成交·止损,止损,-1.07,-11.17,9
41,2026-05-29,buy,43.0,N,放行,N,0.0,5.0,18.0,20.0,0.0,False,74006.5,75116.6,72526.4,73526.1,止损,止损,-0.65,-6.99,46
42,2026-05-31,sell,63.0,N,放行,N,30.0,5.0,18.0,10.0,0.0,False,73494.4,72392.0,74964.3,74164.1,止损,止损,-0.91,-9.62,7
43,2026-06-07,buy,60.0,N,放行,Y,0.0,15.0,25.0,20.0,0.0,True,62372.1,63307.7,61124.7,63027.0,保本止损,TP1,1.05,9.99,54
44,2026-06-09,sell,85.0,N,放行,Y,30.0,25.0,25.0,20.0,-15.0,False,61513.6,60590.9,62743.9,62446.3,止损,止损,-1.52,-15.67,23
45,2026-06-10,buy,50.0,N,放行,N,0.0,15.0,25.0,10.0,0.0,True,62598.8,63537.8,61346.8,63648.8,保本止损,TP1,1.68,16.26,95
46,2026-06-14,sell,33.0,N,确认,Y,0.0,5.0,8.0,20.0,0.0,False,63907.3,62948.7,65185.4,64432.7,确认·止损,止损,-0.82,-8.73,5
47,2026-06-14,buy,78.0,N,放行,N,30.0,25.0,18.0,20.0,-15.0,True,65276.8,66256.0,63971.3,66148.6,保本止损,TP1,1.34,12.85,29
48,2026-06-16,sell,30.0,Y,拦截,N,0.0,5.0,25.0,0.0,0.0,True,65713.0,64727.3,67027.3,65023.0,若成交·保本止损,TP1,1.05,10.01,37
49,2026-06-17,buy,15.0,Y,拦截,N,0.0,5.0,10.0,0.0,0.0,False,65835.1,66822.6,64518.4,64582.9,若成交·止损,止损,-1.9,-19.51,3
50,2026-06-17,sell,100.0,N,放行,N,30.0,25.0,25.0,20.0,0.0,True,64278.2,63314.0,65563.8,63377.0,保本止损,TP1,1.4,13.53,52
