品种,方向,入场时间,开仓价,最大有利幅度%,最大不利幅度%,是否触发止损,tp1_1%先于止损,tp1_1.2%先于止损,tp1_1.3%先于止损,tp1_1.5%先于止损,tp1_1.8%先于止损,tp1_2%先于止损,tp1_2.5%先于止损,tp1_3%先于止损,本笔结果%,离场原因,持仓根数
BTC,空,2026-03-26 09:00,69550.1,6.64,0.42,否,是,是,是,是,是,是,是,是,2.81,反向信号,91
BTC,多,2026-05-01 12:00,77857.7,6.35,0.18,否,是,是,是,是,是,是,是,是,3.36,反向信号,145
BTC,空,2026-05-26 17:00,75900.0,22.16,0.46,否,是,是,是,是,是,是,是,是,17.24,反向信号,279
BTC,多,2026-07-06 15:00,63519.9,1.9,2.69,否,是,是,是,是,是,否,否,否,-2.42,反向信号,41
BTC,空,2026-07-13 01:00,63380.1,2.49,0.95,否,是,是,是,是,是,是,否,否,-0.88,反向信号,35
BTC,多,2026-08-03 14:00,63938.1,2.44,1.0,否,是,是,是,是,是,是,否,否,0.94,反向信号,167
BTC,多,2026-08-17 02:00,63377.9,28.23,0.18,否,是,是,是,是,是,是,是,是,22.69,反向信号,228
BTC,空,2026-09-04 14:00,78872.1,1.65,2.13,否,是,是,是,是,否,否,否,否,-1.01,反向信号,114
ETH,多,2026-04-26 14:00,2345.4,2.5,1.22,否,是,是,是,是,是,是,否,否,-1.0,反向信号,15
ETH,空,2026-05-15 13:00,2212.76,9.32,0.92,否,是,是,是,是,是,是,是,是,6.3,反向信号,197
ETH,空,2026-05-24 21:00,2069.76,27.35,3.46,否,是,是,是,是,是,是,是,是,20.73,反向信号,323
ETH,多,2026-06-07 08:00,1640.63,5.03,2.35,否,是,是,是,是,是,是,是,是,-1.06,反向信号,66
ETH,多,2026-07-06 21:00,1814.52,0.09,4.08,是,否,否,否,否,否,否,否,否,-3.75,止损,29
ETH,多,2026-08-17 01:00,1890.62,34.84,0.31,否,是,是,是,是,是,是,是,是,25.8,反向信号,147
ETH,多,2026-08-30 12:00,2467.99,2.69,3.32,否,是,是,是,是,是,是,是,否,-2.12,反向信号,11
SPCX,空,2026-06-01 12:00,2383.0,93.36,1.14,否,是,是,是,是,是,是,是,是,92.91,反向信号,137
SPCX,空,2026-06-17 13:00,197.85,26.1,1.27,否,是,是,是,是,是,是,是,是,19.85,反向信号,145
SPCX,空,2026-07-06 14:00,162.11,10.32,0.45,否,是,是,是,是,是,是,是,是,5.49,反向信号,76
SPCX,空,2026-07-10 19:00,145.74,6.08,0.68,否,是,是,是,是,是,是,是,是,2.12,反向信号,90
SPCX,空,2026-07-21 18:00,123.87,10.38,1.49,否,是,是,是,是,是,是,是,是,5.43,反向信号,48
SPCX,空,2026-07-27 13:00,110.73,3.27,4.79,是,是,是,是,是,是,是,是,是,-3.75,止损,25
SPCX,空,2026-08-04 20:00,117.51,10.31,0.56,否,是,是,是,是,是,是,是,是,2.12,反向信号,47
SPCX,空,2026-08-13 13:00,142.5,4.83,1.71,否,是,是,是,是,是,是,是,是,0.84,反向信号,83
SPCX,多,2026-08-18 16:00,145.91,0.23,5.21,是,否,否,否,否,否,否,否,否,-3.75,止损,21
SPCX,多,2026-09-01 14:00,143.74,0.95,1.4,否,否,否,否,否,否,否,否,否,-1.31,反向信号,13
SPCX,空,2026-09-14 19:00,148.18,0.16,0.59,否,否,否,否,否,否,否,否,否,-0.24,区间结束,11
NVDA,多,2026-04-19 13:00,200.02,0.12,0.76,否,否,否,否,否,否,否,否,否,-0.75,反向信号,4
NVDA,多,2026-04-22 17:00,202.49,0.71,2.39,否,否,否,否,否,否,否,否,否,-1.7,反向信号,24
NVDA,多,2026-04-27 01:00,210.54,4.12,1.41,否,是,是,是,是,是,是,是,是,1.34,反向信号,32
NVDA,多,2026-05-06 08:00,199.16,9.51,0.27,否,是,是,是,是,是,是,是,是,8.98,反向信号,102
NVDA,多,2026-05-13 01:00,223.09,7.96,0.87,否,是,是,是,是,是,是,是,是,3.29,反向信号,52
NVDA,空,2026-05-20 21:00,220.97,3.5,2.94,否,是,是,是,是,是,是,是,是,2.27,反向信号,65
NVDA,空,2026-06-08 13:00,206.58,3.36,2.5,否,是,是,是,是,是,是,是,是,-0.35,反向信号,29
NVDA,多,2026-07-15 19:00,212.61,0.01,2.44,否,否,否,否,否,否,否,否,否,-2.27,反向信号,18
NVDA,多,2026-08-03 13:00,202.47,11.55,0.33,否,是,是,是,是,是,是,是,是,11.09,反向信号,153
CL,空,2026-03-09 05:00,103.733,25.96,3.09,否,是,是,是,是,是,是,是,是,12.94,反向信号,65
CL,多,2026-03-11 22:00,90.315,14.44,1.34,否,是,是,是,是,是,是,是,是,8.98,反向信号,75
CL,多,2026-04-17 20:00,84.06,7.58,0.59,否,是,是,是,是,是,是,是,是,3.39,反向信号,53
CL,多,2026-04-27 14:00,96.72,14.54,0.89,否,是,是,是,是,是,是,是,是,10.5,反向信号,67
CL,多,2026-05-03 18:00,101.76,0.12,3.08,否,否,否,否,否,否,否,否,否,-2.32,反向信号,2
CL,多,2026-05-06 12:00,95.38,2.0,3.86,是,是,是,是,是,是,是,否,否,-3.75,止损,19
CL,多,2026-05-07 16:00,95.21,3.43,2.38,否,是,是,是,是,是,是,是,是,-1.99,反向信号,29
CL,空,2026-05-11 08:00,96.04,1.53,2.41,否,是,是,是,是,否,否,否,否,-2.24,反向信号,22
CL,多,2026-05-12 06:00,98.19,1.91,0.74,否,是,是,是,是,是,否,否,否,-0.62,反向信号,22
CL,空,2026-05-21 17:00,96.39,8.25,3.13,否,是,是,是,是,是,是,是,是,2.97,反向信号,69
CL,多,2026-05-24 14:00,93.53,0.45,3.31,否,否,否,否,否,否,否,否,否,-2.65,反向信号,13
CL,多,2026-05-31 22:00,89.68,5.63,0.57,否,是,是,是,是,是,是,是,是,2.04,反向信号,29
CL,多,2026-06-17 14:00,77.12,0.25,2.32,否,否,否,否,否,否,否,否,否,-2.2,反向信号,5
CL,多,2026-06-18 18:00,75.73,5.61,0.86,否,是,是,是,是,是,是,是,是,2.57,反向信号,76
CL,多,2026-06-25 14:00,70.98,2.38,0.1,否,是,是,是,是,是,是,否,否,-0.06,反向信号,12
CL,空,2026-07-13 08:00,73.0,0.49,3.0,否,否,否,否,否,否,否,否,否,-1.97,反向信号,6
CL,多,2026-07-13 14:00,74.44,8.37,0.12,否,是,是,是,是,是,是,是,是,5.1,反向信号,75
CL,多,2026-08-09 21:00,78.55,0.84,1.21,否,否,否,否,否,否,否,否,否,-1.18,反向信号,8
CL,多,2026-08-10 10:00,79.19,6.14,0.59,否,是,是,是,是,是,是,是,是,3.07,反向信号,25
CL,空,2026-08-23 23:00,85.95,7.31,0.23,否,是,是,是,是,是,是,是,是,5.18,反向信号,62
