#,入场时间,方向,入场价,止损SL,止盈TP,出场时间,出场类型,出场价,盈亏%,净U,余额U
1,01-06 16:00,空,92685.1,93542.63,91541.72,01-06 18:00,止盈半仓,91541.72,0.042,-0.58,99.42
2,01-06 23:00,多,93750.0,92731.62,95107.84,01-07 00:00,止损,92731.62,-1.086,-11.86,87.56
3,01-07 15:00,空,91347.0,92210.16,90196.12,01-08 06:00,止盈半仓,90196.12,0.478,3.78,91.34
4,01-09 16:00,多,91625.3,90656.4,92917.16,01-09 18:00,止损,90656.4,-1.057,-11.57,79.76
5,01-12 08:00,空,90749.1,91534.89,89701.38,01-12 15:00,止损,91534.89,-0.866,-9.66,70.1
6,01-12 16:00,多,92117.8,91272.29,93245.15,01-12 17:00,止损,91272.29,-0.918,-10.18,59.92
7,01-15 20:00,空,95251.9,96279.36,93881.95,01-18 23:00,止盈半仓,93881.95,3.329,32.29,92.22
8,01-21 15:00,多,90279.5,89301.22,91583.88,01-21 16:00,止损,89301.22,-1.084,-11.84,80.38
9,01-21 16:00,空,87595.4,88891.47,85867.3,01-21 19:00,止损,88891.47,-1.48,-15.8,64.59
10,01-21 19:00,多,90358.0,88834.17,92389.77,01-22 15:00,止损,88834.17,-1.686,-17.86,46.72
11,01-25 06:00,空,88843.1,89157.42,88424.01,01-25 08:00,止盈半仓,88424.01,0.606,5.06,51.78
12,01-26 14:00,多,88186.3,87442.14,89178.52,01-26 15:00,止损,87442.14,-0.844,-9.44,42.34
13,01-29 01:00,空,88603.0,89489.08,87421.56,01-29 14:00,止盈半仓,87421.56,6.094,59.94,102.27
14,02-02 17:00,多,78986.1,77512.6,80950.77,02-03 14:00,止损,77512.6,-1.866,-19.66,82.62
15,02-03 16:00,空,76487.9,77719.62,74845.61,02-03 18:00,止盈半仓,74845.61,6.493,63.93,146.55
16,02-06 14:00,多,68197.1,66056.73,71050.93,02-06 17:00,止盈半仓,71050.93,2.49,23.9,170.45
17,02-09 10:00,空,68739.5,69926.36,67157.03,02-09 16:00,止损,69926.36,-1.727,-18.27,152.19
18,02-13 15:00,多,68704.0,67682.86,70065.52,02-14 11:00,止盈半仓,70065.52,1.158,10.58,162.77
19,02-15 13:00,空,68934.1,69742.29,67856.52,02-16 12:00,止损,69742.29,-1.172,-12.72,150.04
20,02-16 12:00,多,69761.7,69032.3,70734.23,02-16 13:00,止损,69032.3,-1.046,-11.46,138.59
21,02-16 15:00,空,67538.9,68558.71,66179.15,02-16 21:00,止损,68558.71,-1.51,-16.1,122.49
22,02-20 05:00,多,67787.1,67130.02,68663.21,02-20 13:00,止损,67130.02,-0.969,-10.69,111.8
23,02-20 13:00,空,66815.9,67532.58,65860.33,02-20 15:00,止损,67532.58,-1.073,-11.73,100.07
24,02-21 14:00,多,68446.0,67992.79,69050.28,02-21 22:00,止损,67992.79,-0.662,-7.62,92.45
25,02-22 13:00,空,67653.9,68022.15,67162.9,02-23 00:00,止盈半仓,67162.9,1.282,11.82,104.27
26,02-23 09:00,多,66410.4,65618.78,67465.89,02-23 14:00,止损,65618.78,-1.192,-12.92,91.35
27,02-23 17:00,空,64807.6,65725.05,63584.34,02-24 01:00,止盈半仓,63584.34,1.238,11.38,102.73
28,02-24 18:00,多,64425.6,63538.59,65608.28,02-25 01:00,止盈半仓,65608.28,2.636,25.36,128.1
29,02-26 16:00,空,66639.9,67653.4,65288.57,02-26 19:00,止损,67653.4,-1.521,-16.21,111.89
30,02-28 18:00,多,65906.5,64801.28,67380.13,02-28 22:00,止盈半仓,67380.13,1.68,15.8,127.68
31,03-03 09:00,空,66647.0,67701.08,65241.57,03-03 12:00,止损,67701.08,-1.582,-16.82,110.87
32,03-04 07:00,多,69490.9,68332.54,71035.38,03-04 08:00,止盈半仓,71035.38,1.987,18.87,129.73
33,03-05 17:00,空,70707.3,71945.58,69056.25,03-06 14:00,止盈半仓,69056.25,3.143,30.43,160.17
34,03-09 05:00,多,67913.0,66889.79,69277.28,03-09 07:00,止损,66889.79,-1.507,-16.07,144.1
35,03-13 17:00,空,71033.2,72246.55,69415.4,03-15 04:00,ST翻转,71582.5,-0.773,-8.73,135.37
36,03-15 04:00,多,71582.5,71118.53,72201.13,03-15 21:00,止盈半仓,72201.13,1.386,12.86,148.23
37,03-18 11:00,空,72948.5,73727.12,71910.34,03-18 14:00,止盈半仓,71910.34,2.643,25.43,173.66
38,03-23 11:00,多,70131.2,68918.6,71748.0,03-23 14:00,止盈半仓,71748.0,0.685,5.85,179.51
39,03-24 16:00,空,69474.9,70357.34,68298.31,03-24 21:00,止损,70357.34,-1.27,-13.7,165.8
40,03-25 05:00,多,71119.8,70391.9,72090.33,03-26 05:00,止损,70391.9,-1.023,-11.23,154.57
41,03-26 05:00,空,70023.1,70719.01,69095.22,03-26 15:00,止盈半仓,69095.22,2.694,25.94,180.51
42,03-30 03:00,多,67177.6,66355.66,68273.52,03-30 19:00,止损,66355.66,-1.224,-13.24,167.28
43,03-31 09:00,空,66132.0,66965.52,65020.64,03-31 13:00,止损,66965.52,-1.26,-13.6,153.67
44,03-31 20:00,多,68263.8,67274.3,69583.13,04-02 01:00,止损,67274.3,-1.45,-15.5,138.18
45,04-02 02:00,空,66863.6,67736.91,65699.18,04-04 15:00,ST翻转,67379.4,-0.771,-8.71,129.46
46,04-04 15:00,多,67379.4,67098.83,67753.5,04-05 01:00,止损,67098.83,-0.416,-5.16,124.3
47,04-05 06:00,空,66800.1,67092.22,66410.61,04-05 10:00,止损,67092.22,-0.437,-5.37,118.93
48,04-05 17:00,多,67372.5,66970.74,67908.17,04-05 22:00,止盈半仓,67908.17,1.16,10.6,129.53
49,04-07 01:00,空,68400.0,69113.9,67448.14,04-07 09:00,止损,69113.9,-1.044,-11.44,118.09
50,04-07 21:00,多,69921.9,69099.21,71018.81,04-07 22:00,止盈半仓,71018.81,2.019,19.19,137.28
51,04-12 01:00,空,71648.5,72371.8,70684.1,04-12 15:00,止盈半仓,70684.1,0.152,0.52,137.8
52,04-13 14:00,多,72394.6,71742.47,73264.1,04-13 15:00,止损,71742.47,-0.901,-10.01,127.8
53,04-15 06:00,空,73892.5,74563.27,72998.14,04-15 19:00,止损,74563.27,-0.908,-10.08,117.72
54,04-16 19:00,多,75347.0,74402.87,76605.84,04-17 13:00,止盈半仓,76605.84,1.302,12.02,129.74
55,04-18 11:00,空,76050.0,76634.46,75270.73,04-19 07:00,止盈半仓,75270.73,1.013,9.13,138.87
56,04-20 12:00,多,75288.5,74575.1,76239.7,04-20 18:00,止盈半仓,76239.7,0.457,3.57,142.44
57,04-21 19:00,空,75025.9,75918.98,73835.13,04-21 23:00,止损,75918.98,-1.19,-12.9,129.54
58,04-22 02:00,多,77605.2,76669.56,78852.73,04-22 14:00,止盈半仓,78852.73,0.677,5.77,135.3
59,04-23 10:00,空,77407.7,78091.75,76495.63,04-23 14:00,止损,78091.75,-0.884,-9.84,125.47
60,04-26 05:00,多,77980.2,77625.1,78453.67,04-26 19:00,止盈半仓,78453.67,0.125,0.25,125.71
61,04-27 06:00,空,77701.2,78493.05,76645.4,04-27 15:00,止盈半仓,76645.4,0.962,8.62,134.34
62,04-29 04:00,多,77261.5,76721.83,77981.06,04-29 13:00,止损,76721.83,-0.698,-7.98,126.35
63,04-29 14:00,空,76572.2,77189.47,75749.17,04-29 15:00,止盈半仓,75749.17,0.173,0.73,127.08
64,05-01 03:00,多,77130.6,76582.05,77862.01,05-01 12:00,止盈半仓,77862.01,1.648,15.48,142.56
65,05-04 10:00,空,78941.1,79768.62,77837.74,05-04 14:00,止损,79768.62,-1.048,-11.48,131.07
66,05-05 02:00,多,80557.5,79786.45,81585.57,05-05 13:00,止盈半仓,81585.57,0.927,8.27,139.35
67,05-07 00:00,空,81023.3,81670.21,80160.76,05-07 07:00,止损,81670.21,-0.798,-8.98,130.36
68,05-09 16:00,多,80623.1,80274.38,81088.05,05-10 15:00,止盈半仓,81088.05,0.359,2.59,132.95
69,05-11 03:00,空,80736.8,81525.53,79685.16,05-11 16:00,止损,81525.53,-0.977,-10.77,122.18
70,05-14 14:00,多,80963.9,80218.03,81958.4,05-14 17:00,止盈半仓,81958.4,-0.753,-8.53,113.66
71,05-15 13:00,空,78750.8,79554.62,77679.04,05-15 18:00,止损,79554.62,-1.021,-11.21,102.45
72,05-20 20:00,多,77717.1,77139.93,78486.66,05-21 12:00,止损,77139.93,-0.743,-8.43,94.02
73,05-21 14:00,空,76981.1,77553.62,76217.74,05-21 17:00,止损,77553.62,-0.744,-8.44,85.59
74,05-23 18:00,多,75853.6,75356.82,76515.97,05-23 20:00,止盈半仓,76515.97,0.629,5.29,90.87
75,05-24 21:00,空,76145.4,76639.07,75487.18,05-24 22:00,止损,76639.07,-0.648,-7.48,83.39
76,05-25 06:00,多,77426.1,76882.39,78151.04,05-26 00:00,止损,76882.39,-0.702,-8.02,75.37
77,05-26 00:00,空,76788.9,77281.88,76131.6,05-26 10:00,止损,77281.88,-0.642,-7.42,67.95
78,05-29 16:00,多,74054.3,73344.96,75000.09,05-29 18:00,止损,73344.96,-0.958,-10.58,57.37
79,05-31 16:00,空,73531.1,73846.84,73110.11,05-31 21:00,止损,73846.84,-0.429,-5.29,52.08
80,06-07 07:00,多,62400.1,61664.67,63380.67,06-07 12:00,止损,61664.67,-1.179,-12.79,39.29
81,06-09 14:00,空,61547.5,62323.97,60512.21,06-10 13:00,止损,62323.97,-1.262,-13.62,25.68
82,06-10 15:00,多,62636.8,61737.07,63836.44,06-10 17:00,止损,61737.07,-1.436,-15.36,10.31
83,06-14 16:00,空,63946.6,64298.98,63476.77,06-14 21:00,止损,64298.98,-0.551,-6.51,3.8
84,06-14 21:00,多,65315.8,64750.24,66069.88,06-15 11:00,止盈半仓,66069.88,0.904,8.04,11.84
85,06-16 02:00,空,65742.8,66292.09,65010.41,06-16 06:00,止损,66292.09,-0.836,-9.36,2.49
86,06-17 15:00,多,65752.3,65067.34,66665.58,06-17 18:00,止损,65067.34,-1.042,-11.42,-8.93
87,06-17 19:00,空,64300.7,65298.48,62970.33,06-18 15:00,止盈半仓,62970.33,1.589,14.89,5.96
88,06-20 01:00,多,63587.0,63095.29,64242.62,06-20 15:00,止盈半仓,64242.62,0.3,2.0,7.96
89,06-21 23:00,空,63313.0,63769.79,62703.94,06-22 00:00,止损,63769.79,-0.721,-8.21,-0.25
90,06-22 01:00,多,64600.9,63978.82,65430.34,06-22 03:00,止损,63978.82,-0.963,-10.63,-10.88
91,06-23 04:00,空,63622.3,64181.48,62876.73,06-23 06:00,止盈半仓,62876.73,2.177,20.77,9.89
92,06-25 05:00,多,61597.7,60837.11,62611.82,06-25 13:00,止损,60837.11,-1.235,-13.35,-3.46
93,06-25 13:00,空,58298.0,59387.19,56845.75,06-25 14:00,止损,59387.19,-1.868,-19.68,-23.14
94,06-29 17:00,多,60414.3,59506.28,61624.99,06-30 04:00,止损,59506.28,-1.503,-16.03,-39.17
95,06-30 12:00,空,58407.3,58963.62,57665.54,06-30 14:00,止损,58963.62,-0.952,-10.52,-49.69
96,07-01 15:00,多,60147.9,59343.75,61220.11,07-01 22:00,止盈半仓,61220.11,2.989,28.89,-20.8
97,07-06 09:00,空,62671.5,63144.3,62041.1,07-06 12:00,止盈半仓,62041.1,-0.195,-2.95,-23.76
98,07-06 15:00,多,63546.8,62714.31,64656.78,07-06 21:00,止盈半仓,64656.78,0.264,1.64,-22.11
99,07-08 03:00,空,62772.9,63492.4,61813.57,07-08 09:00,止盈半仓,61813.57,0.477,3.77,-18.34
100,07-09 17:00,多,63133.4,62489.03,63992.56,07-10 02:00,止盈半仓,63992.56,1.222,11.22,-7.12
101,07-11 23:00,空,63817.2,64144.14,63381.27,07-12 01:00,止损,64144.14,-0.512,-6.12,-13.25
102,07-14 12:00,多,63964.6,63413.66,64699.19,07-14 15:00,止盈半仓,64699.19,0.788,6.88,-6.37
103,07-16 07:00,空,64237.5,64746.62,63558.67,07-16 14:00,止损,64746.62,-0.793,-8.93,-15.3
104,07-17 17:00,多,64053.5,63455.81,64850.42,07-18 22:00,止盈半仓,64850.42,0.684,5.84,-9.46
105,07-20 05:00,空,64132.5,64616.57,63487.07,07-20 11:00,止损,64616.57,-0.755,-8.55,-18.01
106,07-20 11:00,多,65005.9,64426.58,65778.33,07-20 13:00,止损,64426.58,-0.891,-9.91,-27.92
107,07-22 12:00,空,65642.2,66066.55,65076.4,07-22 14:00,止损,66066.55,-0.646,-7.46,-35.38
108,07-25 18:00,多,64422.8,64206.72,64710.9,07-26 14:00,止盈半仓,64710.9,0.438,3.38,-32.0
109,07-27 14:00,空,64699.4,65248.53,63967.22,07-27 22:00,止盈半仓,63967.22,0.77,6.7,-25.3
110,07-29 06:00,多,64435.6,63932.07,65106.98,07-29 15:00,止损,63932.07,-0.781,-8.81,-34.12
111,07-29 19:00,空,63582.4,64344.59,62566.15,07-30 01:00,止损,64344.59,-1.199,-12.99,-47.11
112,07-30 13:00,多,65024.5,64521.1,65695.7,07-31 01:00,止损,64521.1,-0.774,-8.74,-55.85
113,07-31 07:00,空,63954.5,64427.52,63323.81,07-31 13:00,止盈半仓,63323.81,0.889,7.89,-47.96
114,08-02 02:00,多,63448.6,63124.82,63880.31,08-02 09:00,止损,63124.82,-0.51,-6.1,-54.06
115,08-03 03:00,空,62871.7,63245.83,62372.87,08-03 08:00,止盈半仓,62372.87,0.018,-0.82,-54.89
116,08-03 13:00,多,63348.1,62870.39,63985.05,08-03 14:00,止盈半仓,63985.05,1.638,15.38,-39.5
117,08-09 03:00,空,64786.7,64925.23,64602.0,08-09 08:00,止损,64925.23,-0.214,-3.14,-42.64
118,08-09 13:00,多,65219.9,65070.01,65419.75,08-09 22:00,止损,65070.01,-0.23,-3.3,-45.94
119,08-09 23:00,空,64899.3,65118.77,64606.67,08-10 00:00,止损,65118.77,-0.338,-4.38,-50.32
120,08-12 11:00,多,64236.3,63947.54,64621.32,08-12 13:00,止损,63947.54,-0.45,-5.5,-55.82
121,08-12 14:00,空,63370.2,63771.31,62835.39,08-13 04:00,止损,63771.31,-0.633,-7.33,-63.15
122,08-16 16:00,多,63255.1,63142.68,63404.99,08-16 17:00,止损,63142.68,-0.178,-2.78,-65.92
123,08-16 21:00,空,62929.3,63104.08,62696.26,08-17 01:00,止损,63104.08,-0.278,-3.78,-69.7
124,08-17 02:00,多,63407.1,63117.66,63793.03,08-17 13:00,止盈半仓,63793.03,10.282,101.82,32.12
125,08-23 05:00,空,76060.4,76780.3,75100.54,08-23 10:00,止损,76780.3,-0.946,-10.46,21.65
126,08-23 21:00,多,77838.1,77178.71,78717.28,08-24 00:00,止损,77178.71,-0.847,-9.47,12.18
127,08-25 13:00,空,78653.6,79758.83,77179.97,08-27 08:00,止损,79758.83,-1.405,-15.05,-2.87
128,08-27 08:00,多,79763.4,79083.5,80669.93,08-27 13:00,止损,79083.5,-0.852,-9.52,-12.39
129,08-28 09:00,空,79283.4,79933.02,78417.23,08-28 15:00,止盈半仓,78417.23,0.856,7.56,-4.83
130,08-30 12:00,多,78791.7,78436.57,79265.21,08-30 16:00,止盈半仓,79265.21,-0.406,-5.06,-9.89
131,08-30 23:00,空,77677.7,78408.03,76703.93,08-31 08:00,止损,78408.03,-0.94,-10.4,-20.3
132,09-01 05:00,多,79175.4,78546.12,80014.43,09-01 07:00,止损,78546.12,-0.795,-8.95,-29.24
133,09-01 16:00,空,77593.0,78291.03,76662.29,09-01 18:00,止盈半仓,76662.29,0.379,2.79,-26.45
134,09-03 11:00,多,77935.6,77338.64,78731.55,09-03 12:00,止盈半仓,78731.55,1.484,13.84,-12.61
135,09-04 12:00,空,79453.3,80396.51,78195.69,09-06 23:00,止损,80396.51,-1.187,-12.87,-25.48
136,09-06 23:00,多,80341.4,79934.49,80883.94,09-07 01:00,止损,79934.49,-0.506,-6.06,-31.55
137,09-07 07:00,空,79401.2,79914.63,78716.62,09-07 15:00,止盈半仓,78716.62,0.513,4.13,-27.41
138,09-09 07:00,多,79270.8,78744.04,79973.15,09-09 11:00,止损,78744.04,-0.665,-7.65,-35.06
139,09-09 19:00,空,78228.6,78956.26,77258.39,09-10 12:00,止盈半仓,77258.39,0.75,6.5,-28.56
140,09-11 12:00,多,78025.1,77269.17,79033.0,09-11 13:00,止损,77269.17,-0.969,-10.69,-39.25
141,09-13 08:00,空,76812.5,77063.16,76478.29,09-13 14:00,止损,77063.16,-0.326,-4.26,-43.51
142,09-13 16:00,多,77284.5,76941.21,77742.22,09-13 22:00,止损,76941.21,-0.444,-5.44,-48.95
