2026Äê,,2025Äê
3.787,,3.311
-1.215,,2.938
-1.561,,-0.542
-0.187,,0.347
-0.807,,-1.246
-0.916,,-1.239
4.446,,5.413
8.365,,-1.816
0.384,,0.228
-2.588,,-5.738
-1.713,,-3.013
1.149,,-2.985
0.298,,-4.089
10.622,,-2.559
-4.647,,-3.367
8.392,,0.616
0.446,,0.161
-0.029,,-2.45
0.313,,-1.398
1.12,,3.677
-0.736,,-0.855
0.078,,-2.088
-1.125,,-3.986
-2.293,,-2.022
-1.705,,-0.742
1.664,,-0.4
-2.556,,-1.69
0.304,,-2.965
3.724,,-1.59
0.706,,0.665
0.754,,0.202
-6.227,,12.614
-0.036,,6.733
5.248,,2.026
5.615,,0.484
-0.625,,6.066
1.205,,-5.763
2.227,,-5.919
-2.125,,-2.686
-2.525,,-2.952
-1.238,,-0.598
3.553,,-2.109
-1.855,,-1.589
-2.876,,-0.372
-2.471,,0.735
-1.157,,-0.728
-0.791,,2.175
-0.882,,-1.52
1.875,,-1.269
-4.128,,3.825
0.349,,-1.091
-0.148,,-2.502
2.609,,-2.241
-2.007,,5.082
1.324,,-2.055
1.252,,-6.394
0.572,,-2.86
-2.42,,-4.099
0.222,,1.675
-0.389,,-2.079
-0.5,,-2.17
0.416,,0.808
-1.768,,1.488
-1.479,,-0.564
2.265,,10.663
-2.664,,-0.655
0.349,,-0.995
0.443,,-2.588
0.01,,-0.237
-0.584,,1.013
-2.625,,7.948
2.093,,-1.801
-0.309,,-2.022
1.652,,-1.675
1.081,,0.087
-0.771,,-2.315
-0.832,,-3.228
3.618,,-2.265
-0.36,,2.907
14.726,,-0.531
-2.746,,-0.674
-1.795,,3.369
2.421,,-0.404
-2.65,,-1.581
1.129,,-0.775
0.453,,1.213
-2.173,,1.865
1.69,,-1.407
0.878,,1.198
-0.565,,2.44
-1.337,,-0.949
2.647,,-1.508
-3.654,,0.808
-1.398,,1.208
-2.582,,-1.633
-2.023,,2.191
4.828,,5.272
-1.449,,-0.782
-1.468,,-0.57
-0.67,,-1.095
0.965,,-0.986
-0.023,,0.522
0.45,,0.69
-0.197,,-1.034
-0.524,,-0.58
-1.138,,-0.664
2.027,,10.318
2.369,,1.284
0.254,,-0.989
0,,-1.542
-1.612,,-2.181
-1.824,,-1.196
-1.318,,0.056
0.57,,0.612
-1.054,,0.571
-1.864,,-0.431
1.282,,-1.827
-0.741,,1.893
-0.448,,-0.013
1.302,,-0.985
-1.06,,1.152
0.458,,-1.496
-0.377,,1.279
-0.81,,0.087
19.98,,0.88
-1.977,,2.167
2.122,,-0.877
-0.949,,0.698
-0.537,,-0.997
0.898,,1.105
-1.165,,-1.428
-1.026,,-3.52
-1.867,,-1.507
-1.786,,2.486
0.929,,-0.315
-0.981,,1.64
-0.912,,-1.051
-0.342,,-1.743
-1.731,,0.124
-1.189,,-0.229
-3.095,,-0.008
-0.688,,-0.373
-0.635,,0.186
-0.986,,-1.482
0.416,,-1.791
0.688,,-1.276
4.02,,2.766
-0.829,,-0.556
3.502,,-1.083
31.469,,-1.358
,,-0.465
,,-1.472
,,-1.108
,,2.526
,,-1.422
,,1.359
,,2.451
,,-1.514
,,7.326
,,-1.63
,,-2.54
,,-1.302
,,-1.322
,,-0.488
,,-2.111
,,4.793
,,-1.389
,,4.096
,,-0.091
,,-5.227
,,-4.511
,,-0.886
,,4.713
,,-0.567
,,-1.797
,,3.665
,,0.154
,,4.676
,,-2.055
,,-0.796
,,1.928
,,-0.423
,,-3.404
,,-1.997
,,-3.695
,,6.175
,,-2.683
,,-1.769
,,-5.095
,,1.511
,,-0.578
,,-3.091
,,2.236
,,-0.883
,,-4.913
,,-2.598
,,2.254
,,0.344
,,-1.08
,,-4.673
,,-3.726
,,-2.419
,,-3.045
,,0.471
,,-2.871
,,-0.619
,,-1.787
,,-2.714
,,-4.381
,,-4.285
,,-0.039
,,-1.438
,,-1.094
,,0.311
,,-1.081
,,-1.953
,,-1.906
,,-1.497
,,-0.745
,,-1.39
,,-1.515
,,-0.678
,,-85.35
