time,signal,close,st_distance_atr,body_atr,close_position,ATR_pct,ER20,ADX14,range_atr,break_high20,break_distance_atr,bars_since_flip,trend_age,MA30_slope,future_MFE_10,future_MFE_20,future_MAE_20,future_return_20,success_label,RSI14,volume,vol_ratio,htf_dir,align,squeeze,bbw_rank,reverse_signal_price,exit_result,pnl_pct
2022-01-01 12:00:00,-1,46994.6,3.6359,1.2718,1.0,0.3917,0.0007,23.23,1.2718,47337.4,-1.8624,0,0,0.0467,0.778,0.778,2.8452,-0.5394,0,51.27,25.35,0.262,-1,-1,0,,47480.0,SL,-1.033
2022-01-01 16:15:00,1,47480.0,-2.7821,0.277,0.7631,0.4114,0.2768,19.94,0.8279,47486.7,-0.0343,17,0,0.0621,2.3956,2.3956,1.1878,-0.2471,0,65.32,282.98,2.056,-1,-1,0,,46877.6,SL,-1.269
2022-01-02 05:00:00,-1,46877.6,2.7729,0.1408,0.2648,0.3546,0.452,18.26,0.9655,47752.2,-5.261,51,0,-0.1155,0.1847,0.1847,3.744,-0.99,0,30.31,199.11,1.26,-1,-1,0,71.0,47419.5,SL,-1.156
2022-01-02 16:15:00,1,47419.5,-2.9964,0.074,0.5051,0.2965,0.0717,12.57,0.697,47480.0,-0.4303,45,0,0.0468,4.0866,4.0866,5.3589,-0.7708,0,59.19,31.32,0.499,-1,-1,1,29.0,46910.0,SL,-1.074
2022-01-02 18:30:00,-1,46910.0,3.3356,0.1195,0.7354,0.496,0.1151,22.54,1.4259,47994.1,-4.6589,9,0,-0.0513,0.3434,0.3434,2.4165,-0.9437,0,37.01,264.55,2.544,-1,-1,0,92.0,47327.2,SL,-0.889
2022-01-03 11:15:00,1,47327.2,-3.0826,0.0424,0.4062,0.2943,0.251,17.57,0.8802,47339.7,-0.0897,67,0,0.1257,1.7432,1.7432,7.5455,-1.979,0,62.7,238.52,1.23,-1,-1,0,56.0,46978.1,SL,-0.738
2022-01-03 15:00:00,-1,46978.1,3.5126,0.5995,0.9595,0.4005,0.1143,20.48,1.1155,47570.0,-3.1456,15,0,-0.0021,3.7302,4.1208,0.2227,1.4183,1,44.02,130.92,0.672,-1,-1,0,60.0,46446.7,TP,1.131
2022-01-03 23:45:00,1,46446.7,-3.1724,0.4033,0.2524,0.4447,0.0104,22.39,0.6962,46649.4,-0.9814,35,0,0.0091,0.4817,0.4817,2.4049,-0.7505,0,53.47,66.43,0.451,-1,0,0,81.0,46694.9,TP,0.534
2022-01-04 16:15:00,-1,46694.9,2.8194,0.3116,0.2669,0.4715,0.0093,29.52,0.7745,47600.0,-4.1112,66,0,0.0308,5.4276,5.4276,1.2578,1.198,1,46.03,172.55,0.88,1,0,0,74.0,46646.3,TP,0.104
2022-01-05 09:00:00,1,46646.3,-2.9463,0.0499,0.553,0.2534,0.1229,13.55,1.0129,46675.0,-0.2429,67,0,0.1081,3.4837,3.4837,6.3116,-0.4843,0,63.67,86.18,1.199,-1,0,0,16.0,46270.0,SL,-0.807
2022-01-05 11:45:00,-1,46270.0,3.3758,0.4219,0.8739,0.3888,0.0893,24.1,1.0051,47058.0,-4.3805,11,0,-0.0417,2.0546,2.0546,3.1536,-0.0754,0,40.63,120.96,1.132,-1,1,0,70.0,46553.4,SL,-0.612
2022-01-05 15:00:00,1,46553.4,-3.5233,0.582,0.008,0.578,0.1624,18.83,1.0637,47058.0,-1.8753,13,0,0.0246,0.8789,0.8789,10.9855,-4.99,0,54.02,206.11,1.266,-1,0,0,59.0,45852.5,SL,-1.506
2022-01-05 18:15:00,-1,45852.5,3.2972,0.2748,0.7115,0.5944,0.1903,21.36,1.4052,46837.3,-3.6131,13,0,-0.1178,8.2733,12.505,1.6987,4.8543,1,36.54,174.75,0.976,-1,1,0,76.0,43435.6,TP,5.271
2022-01-06 19:45:00,1,43435.6,-3.1715,0.0997,0.1373,0.4041,0.3821,19.15,0.4728,43476.6,-0.2336,102,0,0.1484,0.8232,0.8232,4.0077,-1.499,0,62.98,35.33,0.426,-1,0,0,61.0,42903.1,SL,-1.226
2022-01-07 00:15:00,-1,42903.1,2.9168,0.1604,0.4256,0.3517,0.4009,11.99,1.1182,43580.1,-4.4872,18,0,0.0034,1.1334,12.7372,0.8524,2.5802,1,38.82,58.79,1.604,-1,1,0,33.0,42204.1,TP,1.629
2022-01-07 08:30:00,1,42204.1,-3.4152,0.2179,0.1513,0.8808,0.1194,43.05,1.1909,42888.0,-1.8397,33,0,-0.0651,1.1188,1.5495,2.7374,-1.8347,0,55.33,443.62,1.306,-1,0,0,82.0,41486.8,SL,-1.7
2022-01-07 13:45:00,-1,41486.8,2.9129,0.2019,0.4354,0.8192,0.2617,28.24,1.3488,42780.1,-3.8054,21,0,-0.015,2.71,2.71,2.7841,-0.526,0,32.58,230.54,1.416,-1,1,0,69.0,42001.1,SL,-1.24
2022-01-08 01:15:00,1,42001.1,-3.2964,0.9015,0.2553,0.4952,0.1717,17.3,1.2112,42248.3,-1.1886,46,0,0.0014,0.2534,0.2534,1.6679,-0.2881,0,57.49,496.27,2.171,-1,0,0,32.0,41628.7,SL,-0.887
2022-01-08 15:15:00,-1,41628.7,2.9355,0.2681,0.4195,0.3988,0.3421,17.18,0.8011,42148.7,-3.1323,56,0,-0.0576,4.9605,6.7031,0.6253,1.5009,1,36.75,169.98,0.791,-1,1,1,41.0,41780.0,SL,-0.363
2022-01-08 21:45:00,1,41780.0,-3.3131,0.5188,0.1392,0.7843,0.1214,43.26,0.8679,42050.0,-0.824,26,0,-0.0106,1.5927,1.5927,1.181,0.7695,1,61.58,100.61,0.772,-1,0,0,90.0,41600.2,SL,-0.43
