time,signal,close,st_distance_atr,body_atr,close_position,ATR_pct,ER20,ADX14,range_atr,break_high20,break_distance_atr,bars_since_flip,trend_age,MA30_slope,future_MFE_10,future_MFE_20,future_MAE_20,future_return_20,success_label,RSI14,volume,vol_ratio,htf_dir,align,squeeze,bbw_rank,reverse_signal_price,exit_result,pnl_pct
2022-09-02 18:00:00,-1,19935.3,3.0869,0.674,0.5532,0.9847,0.0952,16.61,1.6337,20435.0,-2.5456,0,0,-0.0103,0.755,1.0458,0.5889,0.5989,1,43.37,509.28,1.026,-1,-1,1,,19914.0,TP,0.107
2022-09-05 00:00:00,1,19914.0,-3.4611,0.7452,0.1999,0.587,0.0884,21.57,1.5365,20023.5,-0.9368,54,0,0.0457,0.4492,0.4492,2.363,-0.8476,0,54.85,170.8,0.954,-1,-1,0,,18956.7,SL,-4.807
2022-09-06 18:00:00,-1,18956.7,2.6024,0.7,0.0251,1.1304,0.3881,25.59,0.8372,20182.6,-5.7207,42,0,-0.1198,2.1046,2.1046,0.5483,0.2843,1,21.98,718.93,1.126,-1,-1,0,100.0,19362.9,SL,-2.143
2022-09-07 21:00:00,1,19362.9,-3.0042,0.1251,0.496,0.9206,0.4177,36.76,1.0541,19450.2,-0.4897,27,0,-0.0854,0.3568,0.3568,1.9657,-0.8325,0,64.44,296.73,0.773,-1,0,0,82.0,21196.3,TP,9.469
2022-09-13 13:00:00,-1,21196.3,2.5334,0.621,0.0402,1.5628,0.477,28.57,1.0146,22800.0,-4.8412,136,0,-0.1002,4.0192,4.0192,0.198,3.9875,1,27.2,2090.74,2.35,1,0,0,87.0,19912.3,TP,6.058
2022-09-17 02:00:00,1,19912.3,-3.1778,0.5915,0.3029,0.7794,0.0892,31.53,0.9021,20069.6,-1.0136,85,0,0.0131,0.462,1.8023,1.0329,1.0642,1,56.28,276.59,0.903,-1,0,0,49.0,19632.9,SL,-1.403
2022-09-18 17:00:00,-1,19632.9,2.6031,0.8448,0.1427,0.7103,0.3367,23.43,1.1108,20150.0,-3.7083,39,0,-0.0428,6.9311,10.0234,0.8319,2.6904,1,32.7,269.68,0.887,-1,1,0,57.0,19300.7,TP,1.692
2022-09-19 14:00:00,1,19300.7,-2.6922,0.7871,0.6883,1.2894,0.1267,47.3,1.6346,19748.9,-1.8009,21,0,-0.1001,1.5401,1.5401,1.6904,0.0549,1,55.15,2729.43,3.312,-1,0,0,92.0,18973.0,SL,-1.698
2022-09-20 18:00:00,-1,18973.0,3.3711,0.8485,0.8547,1.2654,0.3268,18.29,1.0463,19680.0,-2.9448,28,0,0.0217,0.7831,0.7831,2.0914,-1.4605,0,43.43,347.88,0.986,-1,1,0,67.0,19635.6,SL,-3.492
2022-09-21 18:00:00,1,19635.6,-2.0147,0.7565,0.7424,1.7476,0.3314,20.23,4.0653,19900.0,-0.7705,24,0,0.0495,0.1711,0.1711,4.3454,-3.8318,0,63.74,11228.93,12.5,-1,0,0,72.0,18487.0,SL,-5.85
2022-09-21 22:00:00,-1,18487.0,3.4368,0.0559,0.9775,2.0718,0.1815,19.46,0.9148,19995.0,-3.9372,4,0,-0.0534,0.3316,0.3316,2.1795,-3.8075,0,36.49,2807.73,2.342,-1,1,0,74.0,19289.1,SL,-4.339
2022-09-23 23:00:00,1,19289.1,-3.1515,0.2089,0.3035,1.112,0.0532,19.48,0.7711,19496.0,-0.9646,49,0,0.0338,0.09,0.09,1.6905,-0.9498,0,60.3,398.28,0.917,-1,0,0,61.0,18789.9,SL,-2.588
2022-09-25 22:00:00,-1,18789.9,3.1227,0.3303,0.5641,0.7637,0.1552,13.55,1.9137,19188.0,-2.7743,47,0,-0.0705,0.7129,0.7129,3.6865,-2.0373,0,37.07,350.64,1.696,-1,1,1,31.0,19083.0,SL,-1.56
2022-09-26 09:00:00,1,19083.0,-3.63,1.1061,0.0564,0.9225,0.0953,19.05,1.4202,19289.4,-1.1725,11,0,0.0058,1.0987,6.9056,1.5787,5.8838,1,56.19,687.51,2.3,-1,0,0,44.0,18958.4,SL,-0.653
2022-09-27 17:00:00,-1,18958.4,2.8841,0.5568,0.3686,1.4865,0.0494,41.92,0.8818,20380.3,-5.0456,32,0,0.0098,1.7618,1.7618,0.984,-0.8629,0,30.05,866.44,1.175,1,0,0,91.0,19488.9,SL,-2.798
2022-09-28 15:00:00,1,19488.9,-2.7565,0.454,0.9311,1.1991,0.1931,29.84,0.5648,19473.5,0.0659,22,0,-0.099,1.2328,1.2328,0.9735,-0.1165,0,61.1,478.75,0.886,-1,0,0,67.0,19196.2,SL,-1.502
2022-10-02 11:00:00,-1,19196.2,3.186,0.947,0.5984,0.5138,0.2104,16.04,1.8909,19396.7,-2.0329,92,0,-0.0421,1.2876,2.8004,1.5148,-0.0052,0,40.36,152.71,1.238,-1,1,1,21.0,19335.2,SL,-0.724
2022-10-03 15:00:00,1,19335.2,-3.5393,0.5899,0.0552,0.7111,0.0614,13.14,1.2125,19488.1,-1.1121,28,0,0.0179,2.8352,6.056,0.1673,3.1088,1,56.81,410.83,1.462,-1,0,1,50.0,19961.1,TP,3.237
2022-10-06 23:00:00,-1,19961.1,3.2836,0.4643,0.8884,0.6766,0.3358,12.45,0.7301,20447.9,-3.6046,80,0,-0.0503,1.1107,4.7435,0.679,2.4979,1,42.71,115.83,0.297,1,0,0,49.0,19157.9,TP,4.024
2022-10-13 17:00:00,1,19157.9,-2.9411,0.3178,0.5846,1.1958,0.0105,34.82,0.6967,19233.7,-0.3309,162,0,0.006,3.4786,3.4786,0.0589,2.6616,1,58.39,324.94,0.311,-1,0,0,97.0,19363.6,TP,1.074
2022-10-14 17:00:00,-1,19363.6,3.1774,0.348,0.8727,0.9038,0.0236,20.88,0.476,19954.8,-3.3782,24,0,0.1162,1.6445,1.8748,-0.0006,0.9843,1,45.84,130.52,0.3,1,0,0,75.0,19333.6,TP,0.155
2022-10-16 20:00:00,1,19333.6,-3.1553,0.6072,0.4279,0.3697,0.3619,26.74,2.1547,19380.9,-0.6618,51,0,0.0877,0.9304,4.7795,3.1984,0.9186,1,68.0,188.81,1.691,1,1,0,51.0,19217.0,SL,-0.603
2022-10-18 19:00:00,-1,19217.0,3.5063,0.0147,0.9769,0.6367,0.2932,32.83,1.0616,19709.2,-4.0226,47,0,-0.0995,0.1536,1.2088,1.7204,-0.2617,0,33.46,362.65,0.766,1,0,0,75.0,19128.8,TP,0.459
2022-10-21 16:00:00,1,19128.8,-3.2763,0.2783,0.2003,0.682,0.1037,29.18,0.9222,19168.8,-0.3066,69,0,-0.0191,0.9291,0.9291,0.2721,0.2713,1,54.3,454.91,1.741,-1,0,1,28.0,19335.7,TP,1.082
2022-10-24 05:00:00,-1,19335.7,3.1268,0.0055,0.7148,0.467,0.1793,25.06,0.5903,19691.9,-3.9451,61,0,0.0491,1.9349,1.9349,1.2881,0.1996,1,49.06,116.19,0.499,1,0,0,93.0,19490.3,SL,-0.8
2022-10-25 14:00:00,1,19490.3,-3.0368,0.1554,0.4719,0.383,0.3345,16.05,1.3115,19521.0,-0.4113,33,0,0.0668,12.3518,17.4144,0.0415,6.0374,1,68.91,313.22,2.655,1,1,1,56.0,20290.4,TP,4.105
2022-10-27 23:00:00,-1,20290.4,3.235,0.1215,0.8969,0.7664,0.3819,21.73,0.5923,20870.3,-3.7291,57,0,-0.114,1.69,1.8675,2.935,-1.5702,0,35.36,216.22,0.404,1,0,0,56.0,20630.9,SL,-1.678
2022-10-28 17:00:00,1,20630.9,-3.2811,0.4073,0.0096,0.8794,0.1524,27.93,0.5732,20746.8,-0.6388,18,0,0.0014,0.9321,2.4754,0.4784,0.7305,1,61.43,204.59,0.374,1,1,0,64.0,20626.7,SL,-0.02
2022-10-30 23:00:00,-1,20626.7,3.3084,0.3932,0.8883,0.492,0.1328,15.7,0.7942,20927.7,-2.9661,54,0,-0.0597,1.9383,3.7998,2.161,1.245,1,44.69,61.92,0.236,1,0,1,30.0,20609.9,TP,0.081
2022-11-04 07:00:00,1,20609.9,-2.7741,0.0311,0.7907,0.4833,0.4871,19.13,0.777,20686.4,-0.768,104,0,0.1014,6.9279,8.6937,2.4324,4.065,1,71.41,449.25,2.476,1,1,0,88.0,20901.1,TP,1.413
2022-11-07 00:00:00,-1,20901.1,3.0547,0.0813,0.5489,0.4589,0.4663,26.64,1.1187,21309.9,-4.2621,65,0,-0.1363,3.6793,3.6793,1.7328,0.4631,1,24.77,247.18,1.502,1,0,0,50.0,19338.2,TP,7.478
2022-11-08 17:00:00,1,19338.2,-4.385,2.6404,0.0159,2.0201,0.321,50.35,2.8611,20836.5,-3.8354,41,0,-0.1189,0.5099,0.5099,6.272,-9.051,0,37.42,4014.8,3.126,-1,0,0,92.0,18255.9,SL,-5.597
2022-11-08 19:00:00,-1,18255.9,3.7654,0.571,0.7549,3.3058,0.4741,49.17,3.0025,20690.8,-4.0347,2,0,-0.1363,0.7554,2.2136,0.7717,6.2002,1,26.87,18165.12,6.567,-1,1,0,100.0,17641.1,TP,3.368
2022-11-10 14:00:00,1,17641.1,-2.861,0.0384,0.6758,2.6863,0.24,34.91,0.7903,17798.6,-0.3324,43,0,-0.0357,1.1655,1.1655,1.5993,-1.721,0,61.38,1651.35,0.891,-1,0,0,69.0,16585.3,SL,-5.985
2022-11-13 10:00:00,-1,16585.3,3.1353,0.3351,0.6539,0.7864,0.3469,18.84,0.8795,16995.5,-3.1452,68,0,-0.0467,0.9178,5.868,1.2667,-0.3099,0,35.54,198.33,1.163,-1,1,1,26.0,16823.2,SL,-1.434
2022-11-14 07:00:00,1,16823.2,-2.3432,0.6476,0.8755,1.6861,0.0733,42.81,1.7493,16750.5,0.2563,21,0,-0.0065,1.3238,1.3238,2.2336,0.0464,1,60.43,1184.63,2.897,-1,0,0,67.0,16436.3,SL,-2.3
2022-11-16 15:00:00,-1,16436.3,2.7608,0.3672,0.2996,0.9361,0.4257,22.83,1.1933,17000.0,-3.6638,56,0,-0.0783,0.1826,0.1826,2.2209,-0.9814,0,30.81,443.29,1.451,-1,1,0,59.0,16887.5,SL,-2.745
2022-11-18 01:00:00,1,16887.5,-3.265,0.5024,0.2712,0.7107,0.2896,15.62,1.1582,16965.4,-0.6491,34,0,0.0902,0.7341,0.7341,2.7697,-1.3643,0,63.91,381.46,1.659,-1,0,0,42.0,16522.3,SL,-2.163
2022-11-20 12:00:00,-1,16522.3,2.9921,0.0013,0.4954,0.462,0.2586,20.1,1.7005,16818.6,-3.8819,59,0,-0.0398,4.5107,8.1332,1.3075,2.9336,1,31.55,312.58,2.347,-1,1,0,37.0,16119.2,TP,2.44
2022-11-22 14:00:00,1,16119.2,-3.0774,0.309,0.4246,1.0581,0.0832,40.41,1.026,16218.2,-0.5804,50,0,0.0159,1.1498,3.2487,0.3911,3.043,1,59.01,334.31,0.707,-1,0,0,72.0,16458.4,TP,2.104
2022-11-26 23:00:00,-1,16458.4,3.1206,0.4991,0.6238,0.3981,0.3404,15.69,0.9738,16681.3,-3.4022,105,0,-0.0263,0.1038,0.1038,2.1353,-0.5894,0,40.23,113.74,0.794,1,0,0,38.0,16483.5,SL,-0.153
2022-11-29 05:00:00,1,16483.5,-3.0102,0.4989,0.49,0.6275,0.2632,18.48,1.0181,16489.0,-0.0532,54,0,0.0181,0.6062,4.518,1.4473,2.4303,1,65.02,408.83,1.636,-1,0,0,82.0,16931.2,TP,2.716
2022-12-02 04:00:00,-1,16931.2,3.2445,0.3415,0.8834,0.4843,0.2727,15.98,0.6378,17335.5,-4.9307,71,0,-0.0894,1.883,1.883,2.9025,-0.7017,0,44.83,333.87,1.32,1,0,0,27.0,17061.7,SL,-0.771
2022-12-04 18:00:00,1,17061.7,-3.5062,0.1332,0.2206,0.3873,0.358,23.15,1.8114,17096.0,-0.519,62,0,0.0492,5.4235,5.4235,0.1892,0.8616,1,61.84,526.77,2.411,1,1,1,37.0,17056.3,SL,-0.032
2022-12-05 17:00:00,-1,17056.3,3.1518,0.1437,0.6566,0.5387,0.0697,38.08,0.9697,17420.1,-3.9592,23,0,0.0391,2.0199,2.0199,0.7868,0.4145,1,38.55,129.8,0.337,1,0,0,91.0,17247.2,SL,-1.119
2022-12-08 18:00:00,1,17247.2,-1.4988,3.3983,0.8851,0.4789,0.6108,19.04,3.8983,16972.9,3.3208,73,0,0.1829,0.6017,1.2918,2.1792,-0.5311,0,82.98,1127.41,5.269,-1,0,0,69.0,17112.5,SL,-0.781
2022-12-11 21:00:00,-1,17112.5,2.8396,0.207,0.3734,0.2569,0.2082,13.94,1.267,17269.3,-3.5666,75,0,-0.0757,5.5024,5.5024,0.4003,0.6112,1,38.85,41.11,0.424,1,0,1,47.0,17174.4,SL,-0.362
2022-12-12 21:00:00,1,17174.4,-2.909,1.0176,0.5472,0.3038,0.4852,20.81,1.9298,17121.3,1.0176,24,0,0.0125,1.2188,15.8021,1.7496,2.7564,1,71.03,275.56,1.721,-1,0,0,68.0,17768.3,TP,3.458
2022-12-14 20:00:00,-1,17768.3,2.8166,0.1417,0.3824,1.0125,0.0488,49.28,1.5597,18377.1,-3.3841,47,0,-0.0188,1.1234,2.3585,0.6253,2.0672,1,46.43,920.28,1.201,1,0,0,83.0,16726.7,TP,5.862
2022-12-20 03:00:00,1,16726.7,-3.2028,0.0549,0.3322,0.74,0.0083,31.83,1.2086,16860.0,-1.0769,127,0,-0.006,1.2239,2.704,0.2819,0.999,1,57.34,457.78,1.355,-1,0,0,70.0,16637.2,SL,-0.535
