时间,信号,出入场,入场后最高值,最低值,止盈止损,盈亏,4h方向,趋势区间,区间置信度,区间可交易,1h_MA30斜率,4h_MA30斜率,1h_MA30距离,4h_MA30距离,前20根_涨跌幅,前20根_ATR变化,前20根_ER变化,前20根_ADX变化,前20根_ST距离变化,前50根_ST翻转次数,前50根_高低点次数,前50根_趋势持续时间,前100根_趋势生命周期,前100根_横盘周期,前100根_波动周期
2022/9/2 18:00,-1,19935.3->19914,20078.6,19590,TP,0.107,-1,震荡吸收期,50,FALSE,0.2458,-0.0338,-0.526,-0.6901,-1.3652,0.0321,0.1751,-2.6208,-2.9035,3,13,1,6,42,0
2022/9/5 0:00,1,19914->18956.7,20182.6,18888,SL,-4.807,-1,震荡吸收期,50,FALSE,0.1094,-0.5879,0.557,-0.2651,0.9947,0.1786,0.1715,-7.1233,6.3908,1,16,1,5,54,0
2022/9/6 18:00,-1,18956.7->19362.9,19457.6,18505.7,SL,-2.143,-1,趋势启动期,79.06131368,TRUE,-0.1438,-0.5966,-4.1512,-4.4897,-3.5311,0.6254,0.2516,11.302,-5.8329,2,12,1,4,42,7
2022/9/7 21:00,1,19362.9->21196.3,22800,19012.5,TP,9.469,-1,震荡吸收期,50,FALSE,-1.5089,-1.617,2.3474,-1.0334,3.1765,-0.1236,-0.1103,-3.3179,7.0014,2,9,1,4,26,16
2022/9/13 13:00,-1,21196.3->19912.3,21518.9,19320,TP,6.058,1,趋势运行期,94.0806206,TRUE,0.5206,4.9905,-4.7194,-1.1457,-4.2647,0.442,0.0347,-12.7239,-7.7775,1,16,1,2,0,1
2022/9/17 2:00,1,19912.3->19632.9,20192,19610.8,SL,-1.403,-1,震荡吸收期,50,FALSE,-0.2378,-2.8903,0.8977,-3.4688,1.2225,0.0623,-0.1499,-6.886,6.0762,1,16,1,3,0,11
2022/9/18 17:00,-1,19632.9->19300.7,19765.7,18235.2,TP,1.692,-1,趋势启动期,100,TRUE,-0.0032,-3.2862,-1.7004,-1.5894,-1.42,0.1163,0.2608,3.5979,-5.4738,2,14,1,3,30,0
2022/9/19 14:00,1,19300.7->18973,19684,18727.3,SL,-1.698,-1,震荡吸收期,50,FALSE,-2.2611,-2.5295,0.127,-2.1563,-2.7171,0.4938,-0.2238,24.8567,6.6521,2,13,1,4,30,11
2022/9/20 18:00,-1,18973->19635.6,19995,18600,SL,-3.492,-1,趋势延续期,70,TRUE,0.8369,-1.5532,-1.5275,-3.0231,-4.2529,-0.0089,0.1112,-14.5523,-6.4035,3,15,1,5,39,16
2022/9/21 18:00,1,19635.6->18487,19995,18144.5,SL,-5.85,-1,趋势启动期,80.86472245,TRUE,-0.002,-1.2184,2.9437,1.074,4.8766,0.0258,0.2894,2.6659,7.1391,2,15,1,5,55,0
2022/9/21 22:00,-1,18487->19289.1,19526.8,18144.5,SL,-4.339,-1,震荡吸收期,50,FALSE,-0.0896,-1.3045,-2.8346,-4.6189,-2.8674,1.1073,-0.0302,-1.5584,-0.8992,3,15,1,6,54,4
2022/9/23 23:00,1,19289.1->18789.9,19404.3,18635,SL,-2.588,-1,震荡吸收期,50,FALSE,-0.3474,-1.3136,1.0299,1.2105,-0.2976,0.121,-0.2295,2.1827,3.9013,2,11,1,5,73,9
2022/9/25 22:00,-1,18789.9->19083,19318.9,18635,SL,-1.56,-1,趋势启动期,80.73153381,TRUE,-0.2904,-0.2925,-1.0724,-1.2701,-1.0887,0.0946,0.0995,-1.6553,-5.2296,2,16,1,4,91,11
2022/9/26 9:00,1,19083->18958.4,20380.3,18805.1,SL,-0.653,-1,震荡吸收期,50,FALSE,-0.2007,-0.3771,0.7212,0.3544,1.8169,0.28,-0.0153,8.4285,3.1249,2,18,1,4,96,7
2022/9/27 17:00,-1,18958.4->19488.9,19498,18461.9,SL,-2.798,1,震荡吸收期,50,FALSE,1.7559,0.8568,-3.4419,-1.2044,0.1147,0.6626,-0.116,30.5047,-6.8202,3,17,1,5,82,1
2022/9/28 15:00,1,19488.9->19196.2,20176.8,18842.4,SL,-1.502,-1,震荡吸收期,50,FALSE,-1.7627,0.6638,1.4138,1.6553,1.5875,-0.2029,0.0642,-10.0851,6.2182,2,16,1,5,64,7
2022/10/2 11:00,-1,19196.2->19335.2,19492.7,18920,SL,-0.724,-1,震荡吸收期,50,FALSE,-0.2215,-0.0614,-0.5045,-0.7776,-1.1927,-0.0834,0.0917,2.225,-4.8095,1,15,1,3,80,0
2022/10/3 15:00,1,19335.2->19961.1,20462.4,19312.2,TP,3.237,-1,震荡吸收期,50,FALSE,-0.0972,-0.3994,0.7409,-0.1264,0.8168,0.2073,0.0863,-9.7778,4.7373,2,17,1,3,88,28
2022/10/6 23:00,-1,19961.1->19157.9,20052.8,18155,TP,4.024,1,震荡吸收期,50,FALSE,-0.0741,1.2072,-0.8879,0.9743,-2.261,-0.0965,0.2966,-9.055,-6.079,1,12,1,3,37,0
2022/10/13 17:00,1,19157.9->19363.6,19954.8,19064.6,TP,1.074,-1,震荡吸收期,50,FALSE,-0.5766,-0.8865,0.8164,-0.2678,-0.4756,0.8514,-0.1531,20.1022,5.1554,1,11,1,2,13,5
2022/10/14 17:00,-1,19363.6->19333.6,19421.7,18975.7,TP,0.155,1,震荡吸收期,50,FALSE,0.9771,-0.2786,-0.2377,0.7517,-0.5293,-0.1288,-0.0985,-8.7245,-6.1321,2,11,1,3,13,24
2022/10/16 20:00,1,19333.6->19217,19709.2,19090.1,SL,-0.603,1,震荡吸收期,50,FALSE,0.0547,0.0418,1.011,0.6848,1.2404,-0.0356,0.4268,-6.7211,6.3971,1,16,1,4,13,37
2022/10/18 19:00,-1,19217->19128.8,19427.5,18648.9,TP,0.459,1,震荡吸收期,50,FALSE,0.1247,0.6744,-1.4808,-0.617,-1.6759,0.1258,-0.1934,-1.0625,-6.3428,2,14,1,4,8,9
2022/10/21 16:00,1,19128.8->19335.7,19691.9,19070.1,TP,1.082,-1,震荡吸收期,50,FALSE,-0.1853,-0.0818,0.2757,-0.7118,0.7094,0.1218,0.0496,9.2547,5.9659,1,13,1,3,3,0
2022/10/24 5:00,-1,19335.7->19490.3,19542,19161,SL,-0.8,1,震荡吸收期,50,FALSE,0.4539,-0.2419,0.1719,0.753,0.7892,0.3348,0.1481,19.0941,-5.9713,1,15,1,3,48,3
2022/10/25 14:00,1,19490.3->20290.4,21020.5,19444.1,TP,4.105,1,震荡吸收期,50,FALSE,-0.0872,0.3182,0.7749,1.273,0.7453,-0.0837,0.0117,-4.3214,5.9876,2,12,1,4,73,10
2022/10/27 23:00,-1,20290.4->20630.9,20746.8,20000,SL,-1.678,1,趋势运行期,90.27525211,TRUE,-0.3286,2.5729,-1.6763,1.9449,-2.3168,0.0084,0.0599,-22.3724,-6.1464,1,15,1,4,35,0
2022/10/28 17:00,1,20630.9->20626.7,21080,20509.7,SL,-0.02,1,震荡吸收期,50,FALSE,-0.5271,2.0811,1.1574,2.7212,1.4444,0.153,-0.0486,8.3179,3.3088,2,14,1,4,31,0
2022/10/30 23:00,-1,20626.7->20609.9,20846,20032.2,TP,0.081,1,震荡吸收期,50,FALSE,-0.2771,2.0057,-0.5404,0.0442,-0.8959,0.0101,0.1537,-0.8871,-5.2924,1,16,1,4,28,0
2022/11/4 7:00,1,20609.9->20901.1,21475.9,20367.6,TP,1.413,1,震荡吸收期,50,FALSE,0.134,-0.7787,1.5505,0.8039,2.3666,-0.0715,0.0679,-8.4341,6.6998,1,12,1,2,54,8
2022/11/7 0:00,-1,20901.1->19338.2,21067.3,19220,TP,7.478,1,趋势启动期,100,TRUE,-0.2589,1.1538,-1.4877,0.5127,-1.5129,0.0844,0.3673,-0.8509,-5.8345,1,16,1,3,26,17
2022/11/8 17:00,1,19338.2->18255.9,20438.1,16888,SL,-5.597,-1,趋势运行期,87.84003728,TRUE,-1.8163,-0.3097,-4.241,-6.7143,-1.5067,0.9379,-0.1039,18.552,6.4341,2,12,1,3,11,25
2022/11/8 19:00,-1,18255.9->17641.1,18721.6,15511.1,TP,3.368,-1,趋势运行期,93.96526478,TRUE,-2.1866,-0.3097,-8.9046,-11.9352,-9.6462,1.8459,0.1873,11.9468,-1.1721,3,13,1,4,11,26
2022/11/10 14:00,1,17641.1->16585.3,18193.4,16366,SL,-5.985,-1,趋势衰减期,95.58134006,FALSE,-2.7641,-6.262,4.8884,-8.9729,6.3711,-0.0966,-0.4578,-15.3326,7.2495,3,12,1,5,11,45
2022/11/13 10:00,-1,16585.3->16823.2,16885,15820,SL,-1.434,-1,震荡吸收期,50,FALSE,-0.1912,-6.5753,-1.4003,-3.7372,-2.1549,-0.2349,0.2742,0.4895,-5.2042,1,12,1,3,37,3
2022/11/14 7:00,1,16823.2->16436.3,17198.7,16189.6,SL,-2.3,-1,震荡吸收期,50,FALSE,-1.1592,-5.1431,1.789,-0.344,-0.1441,0.7609,-0.2538,25.9912,6.024,2,12,1,4,39,26
2022/11/16 15:00,-1,16436.3->16887.5,16988.8,16381.3,SL,-2.745,-1,趋势运行期,92.02655948,TRUE,-0.1676,-0.5368,-2.308,-1.8376,-2.1472,-0.3265,0.1065,-6.5368,-4.9375,1,11,1,4,35,11
2022/11/18 1:00,1,16887.5->16522.3,16988.8,16458,SL,-2.163,-1,震荡吸收期,50,FALSE,0.3096,-0.5687,1.5535,1.3458,2.2054,-0.0328,0.245,-6.9534,6.3085,2,16,1,4,21,15
2022/11/20 12:00,-1,16522.3->16119.2,16622.1,15450,TP,2.44,-1,震荡吸收期,50,FALSE,-0.0161,-0.0459,-0.7826,-0.9279,-0.8015,0.1628,0.2036,11.5113,-5.4701,1,16,1,4,71,6
2022/11/22 14:00,1,16119.2->16458.4,16810.8,16044.9,TP,2.104,-1,震荡吸收期,50,FALSE,-0.6333,-1.3981,1.3196,-1.8028,1.2484,0.222,-0.2014,9.9496,6.98,1,14,1,3,51,34
2022/11/26 23:00,-1,16458.4->16483.5,16598.3,16000,SL,-0.153,1,震荡吸收期,50,FALSE,0.003,0.7174,-0.5456,0.1103,-1.1851,-0.0296,0.137,-4.4351,-6.0096,1,16,1,2,45,22
2022/11/29 5:00,1,16483.5->16931.2,17335.5,16333.8,TP,2.716,-1,震荡吸收期,50,FALSE,-0.5406,-0.4123,1.5403,0.1456,1.3208,0.1286,-0.1578,-17.0381,5.7232,1,14,1,3,72,5
2022/12/2 4:00,-1,16931.2->17061.7,17169.2,16776.8,SL,-0.771,1,震荡吸收期,50,FALSE,-0.0061,0.9947,-0.647,1.6644,-1.2173,0.0097,-0.1976,-17.8279,-6.0421,1,16,1,3,18,0
2022/12/4 18:00,1,17061.7->17056.3,17420.1,16974.6,SL,-0.032,1,震荡吸收期,50,FALSE,0.0477,1.3235,0.4989,0.5576,0.8882,0.0641,-0.1854,6.4435,5.8522,1,13,1,3,53,10
2022/12/5 17:00,-1,17056.3->17247.2,17284.2,16686,SL,-1.119,1,震荡吸收期,50,FALSE,0.4344,0.8396,-0.6413,0.1391,-0.4376,0.1825,-0.3022,12.7397,-6.2266,2,13,1,4,53,3
2022/12/8 18:00,1,17247.2->17112.5,17353.9,16962.2,SL,-0.781,-1,震荡吸收期,50,FALSE,0.0585,-0.2126,2.3288,1.5297,0.7177,-0.0039,0.0029,-11.7086,5.7213,1,12,1,4,21,1
2022/12/11 21:00,-1,17112.5->17174.4,17220,16870.6,SL,-0.362,1,震荡吸收期,50,FALSE,-0.0083,0.2513,-0.2846,0.2673,-0.349,0.0412,0.0543,-0.7379,-5.0915,1,14,1,3,52,10
2022/12/12 21:00,1,17174.4->17768.3,18377.1,17083.1,TP,3.458,-1,震荡吸收期,50,FALSE,-0.2583,0.3066,0.8707,0.4318,0.991,-0.0547,-0.175,2.1018,6.7399,2,11,1,4,52,14
2022/12/14 20:00,-1,17768.3->16726.7,17941.6,16248.6,TP,5.862,1,震荡吸收期,50,FALSE,1.0582,1.2567,-0.4196,2.4845,-0.1526,0.3619,-0.4633,7.2183,-6.3499,2,12,1,4,38,27
2022/12/20 3:00,1,16726.7->16637.2,17061.4,16614.4,SL,-0.535,-1,震荡吸收期,50,FALSE,-0.3454,-2.1886,0.3473,-1.0863,0.0042,0.4129,-0.0147,3.3711,3.9853,1,11,1,2,0,21
2022/12/22 15:00,-1,16637.2->16801.1,16860,16568.2,SL,-0.985,1,震荡吸收期,50,FALSE,-0.1029,-0.2185,-1.0389,-0.7504,-0.4965,-0.0888,-0.0064,-3.3266,-4.6484,1,17,1,3,35,21
2022/12/22 21:00,1,16801.1->16795,16965.7,16717.9,SL,-0.036,1,震荡吸收期,50,FALSE,-0.2851,0.0388,0.1273,0.2233,-0.2039,0.0868,0.0841,9.8555,1.2452,2,15,1,4,37,19
2022/12/25 19:00,-1,16795->16894.8,16903.1,16731.3,SL,-0.594,1,震荡吸收期,50,FALSE,-0.0386,0.1954,-0.1875,-0.1564,-0.3255,0.0438,0.1713,18.87,-4.4734,1,13,1,4,75,9
2022/12/26 2:00,1,16894.8->16802,16968.9,16738.4,SL,-0.549,1,震荡吸收期,50,FALSE,-0.026,0.152,0.413,0.4361,0.1658,0.0946,0.0749,18.5858,0.9286,2,13,1,5,68,11
2022/12/27 15:00,-1,16802->16581.6,16838.8,16340.9,TP,1.312,1,震荡吸收期,50,FALSE,-0.0426,0.0854,-0.285,-0.1889,-0.4031,0.074,0.0905,3.9919,-5.1217,3,12,1,4,68,11
