时间,信号,出入场,入场后最高值,最低值,止盈止损,盈亏,4h方向,前20根_涨跌幅,前20根_ATR变化,前20根_ER变化,前20根_ADX变化,前20根_ST距离变化,前50根_ST翻转次数,前50根_高低点次数,前50根_趋势持续时间,前100根_趋势生命周期,前100根_横盘周期,前100根_波动周期,行情状态,行情状态_中文,分类置信度,可交易,ER估算,ADX估算,ADX斜率
2022/9/2 18:00,-1,19935.3->19914,20078.6,19590.0,TP,0.107,-1,-1.3652,0.0321,0.1751,-2.6208,-2.9035,3,13,1,6,42,0,consolidation,震荡吸收期,50,False,0.425,22.4,-2.6
2022/9/5 0:00,1,19914->18956.7,20182.6,18888.0,SL,-4.807,-1,0.9947,0.1786,0.1715,-7.1233,6.3908,1,16,1,5,54,0,consolidation,震荡吸收期,50,False,0.421,17.9,-7.1
2022/9/6 18:00,-1,18956.7->19362.9,19457.6,18505.7,SL,-2.143,-1,-3.5311,0.6254,0.2516,11.302,-5.8329,2,12,1,4,42,7,trend_running,趋势运行期,80,True,0.502,36.3,11.3
2022/9/7 21:00,1,19362.9->21196.3,22800.0,19012.5,TP,9.469,-1,3.1765,-0.1236,-0.1103,-3.3179,7.0014,2,9,1,4,26,16,consolidation,震荡吸收期,50,False,0.14,21.7,-3.3
2022/9/13 13:00,-1,21196.3->19912.3,21518.9,19320.0,TP,6.058,1,-4.2647,0.442,0.0347,-12.7239,-7.7775,1,16,1,2,0,1,consolidation,震荡吸收期,50,False,0.285,12.3,-12.7
2022/9/17 2:00,1,19912.3->19632.9,20192.0,19610.8,SL,-1.403,-1,1.2225,0.0623,-0.1499,-6.886,6.0762,1,16,1,3,0,11,consolidation,震荡吸收期,50,False,0.1,18.1,-6.9
2022/9/18 17:00,-1,19632.9->19300.7,19765.7,18235.2,TP,1.692,-1,-1.42,0.1163,0.2608,3.5979,-5.4738,2,14,1,3,30,0,consolidation,震荡吸收期,50,False,0.511,28.6,3.6
2022/9/19 14:00,1,19300.7->18973,19684.0,18727.3,SL,-1.698,-1,-2.7171,0.4938,-0.2238,24.8567,6.6521,2,13,1,4,30,11,consolidation,震荡吸收期,50,False,0.026,49.9,24.9
2022/9/20 18:00,-1,18973->19635.6,19995.0,18600.0,SL,-3.492,-1,-4.2529,-0.0089,0.1112,-14.5523,-6.4035,3,15,1,5,39,16,consolidation,震荡吸收期,50,False,0.361,10.4,-14.6
2022/9/21 18:00,1,19635.6->18487,19995.0,18144.5,SL,-5.85,-1,4.8766,0.0258,0.2894,2.6659,7.1391,2,15,1,5,55,0,trend_running,趋势运行期,80,True,0.539,27.7,2.7
2022/9/21 22:00,-1,18487->19289.1,19526.8,18144.5,SL,-4.339,-1,-2.8674,1.1073,-0.0302,-1.5584,-0.8992,3,15,1,6,54,4,trend_continuation,趋势延续期,70,False,0.22,23.4,-1.6
2022/9/23 23:00,1,19289.1->18789.9,19404.3,18635.0,SL,-2.588,-1,-0.2976,0.121,-0.2295,2.1827,3.9013,2,11,1,5,73,9,consolidation,震荡吸收期,50,False,0.02,27.2,2.2
2022/9/25 22:00,-1,18789.9->19083,19318.9,18635.0,SL,-1.56,-1,-1.0887,0.0946,0.0995,-1.6553,-5.2296,2,16,1,4,91,11,trend_continuation,趋势延续期,70,False,0.35,23.3,-1.7
